,Bundle Name,Pdf file,XML file
10,BLESSING_Andre_NLP_meets_RegNLP_meets_Regesta_Imperii,BLESSING_Andre_NLP_meets_RegNLP_meets_Regesta_Imperii.pdf,BLESSING_Andre_NLP_meets_RegNLP_meets_Regesta_Imperii.xml
11,BLUMTRITT_Jonathan_Nutzerunterst_tzung_und_neueste_Entwicklu,BLUMTRITT_Jonathan_Nutzerunterst_tzung_und_neueste_Entwicklu.pdf,BLUMTRITT_Jonathan_Nutzerunterst_tzung_und_neueste_Entwicklu.xml
12,BOENIG_Matthias_Ground_Truth__Grundwahrheit_oder_Ad_Hoc_L_su,BOENIG_Matthias_Ground_Truth__Grundwahrheit_oder_Ad_Hoc_L_su.pdf,BOENIG_Matthias_Ground_Truth__Grundwahrheit_oder_Ad_Hoc_L_su.xml
13,BRUDER_Daniel_Datenmodelle_zur_digitalen_Texterfassung__Comp,BRUDER_Daniel_Datenmodelle_zur_digitalen_Texterfassung__Comp.pdf,BRUDER_Daniel_Datenmodelle_zur_digitalen_Texterfassung__Comp.xml
14,BRUNNER_Annelen_Projektvorstellung___Redewiedergabe__Eine_li,BRUNNER_Annelen_Projektvorstellung___Redewiedergabe__Eine_li.pdf,BRUNNER_Annelen_Projektvorstellung___Redewiedergabe__Eine_li.xml
15,BUBENHOFER_Noah_Wissenschaft_ohne_Geist__Herausforderungen_d,BUBENHOFER_Noah_Wissenschaft_ohne_Geist__Herausforderungen_d.pdf,BUBENHOFER_Noah_Wissenschaft_ohne_Geist__Herausforderungen_d.xml
16,BURCKHARDT_Daniel_Schl_sseldokumente_zur_deutsch_j_dischen_G,BURCKHARDT_Daniel_Schl_sseldokumente_zur_deutsch_j_dischen_G.pdf,BURCKHARDT_Daniel_Schl_sseldokumente_zur_deutsch_j_dischen_G.xml
17,BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse,BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.pdf,BURGHARDT_Manuel_Computergest_tzte_Film__und_Videoanalyse.xml
18,BURGHARDT_Manuel_Digital_Dylan___Computergest_tzte_Analyse_d,BURGHARDT_Manuel_Digital_Dylan___Computergest_tzte_Analyse_d.pdf,BURGHARDT_Manuel_Digital_Dylan___Computergest_tzte_Analyse_d.xml
19,BURR_Elisabeth__Kinder_des_Buchdrucks__im_Digitalen_Zeitalte,BURR_Elisabeth__Kinder_des_Buchdrucks__im_Digitalen_Zeitalte.pdf,BURR_Elisabeth__Kinder_des_Buchdrucks__im_Digitalen_Zeitalte.xml
20,BUSCH_Hannah_Auf_der_Suche_nach_der_verlorenen_Materialit_t_,BUSCH_Hannah_Auf_der_Suche_nach_der_verlorenen_Materialit_t_.pdf,BUSCH_Hannah_Auf_der_Suche_nach_der_verlorenen_Materialit_t_.xml
21,B_RGERMEISTER_Martina__Software_Aging__in_den_DH__Kritik_des,B_RGERMEISTER_Martina__Software_Aging__in_den_DH__Kritik_des.pdf,B_RGERMEISTER_Martina__Software_Aging__in_den_DH__Kritik_des.xml
22,B_RNER_Ingo_C_sar_Flaischlens__Graphische_Litteratur_Tafel__,B_RNER_Ingo_C_sar_Flaischlens__Graphische_Litteratur_Tafel__.pdf,B_RNER_Ingo_C_sar_Flaischlens__Graphische_Litteratur_Tafel__.xml
23,B_TTGER_Lucie_Wahrnehmung_und_digitale_Mustererkennung_am_Be,B_TTGER_Lucie_Wahrnehmung_und_digitale_Mustererkennung_am_Be.pdf,B_TTGER_Lucie_Wahrnehmung_und_digitale_Mustererkennung_am_Be.xml
24,CHIARCOS_Christian_Universal_Morphology_zwischen_Sprachtechn,CHIARCOS_Christian_Universal_Morphology_zwischen_Sprachtechn.pdf,CHIARCOS_Christian_Universal_Morphology_zwischen_Sprachtechn.xml
25,CZMIEL_Alexander_erschlie_en___verkn_pfen___finden__Forschun,CZMIEL_Alexander_erschlie_en___verkn_pfen___finden__Forschun.pdf,CZMIEL_Alexander_erschlie_en___verkn_pfen___finden__Forschun.xml
26,DAHNKE_Michael__Professionalisierung_der_Ausbildung_von_Geis,DAHNKE_Michael__Professionalisierung_der_Ausbildung_von_Geis.pdf,DAHNKE_Michael__Professionalisierung_der_Ausbildung_von_Geis.xml
27,DECLERCK_Thierry_Formalisierung_von_M_rchen,DECLERCK_Thierry_Formalisierung_von_M_rchen.pdf,DECLERCK_Thierry_Formalisierung_von_M_rchen.xml
28,DIMPEL_Friedrich_Michael_Die_guten_ins_T_pfchen__Zur_Anwendb,DIMPEL_Friedrich_Michael_Die_guten_ins_T_pfchen__Zur_Anwendb.pdf,DIMPEL_Friedrich_Michael_Die_guten_ins_T_pfchen__Zur_Anwendb.xml
29,DONIG_Simon_Bildanalyse_durch_Distant_Viewing___zur_Identifi,DONIG_Simon_Bildanalyse_durch_Distant_Viewing___zur_Identifi.pdf,DONIG_Simon_Bildanalyse_durch_Distant_Viewing___zur_Identifi.xml
30,DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio,DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.pdf,DONIG_Simon__Der_ferne_Blick__Bildkorpora_und_Computer_Visio.xml
31,DRUSKAT_Stephan_Nachnutzbarmachung_von_Forschungsdaten_und_T,DRUSKAT_Stephan_Nachnutzbarmachung_von_Forschungsdaten_und_T.pdf,DRUSKAT_Stephan_Nachnutzbarmachung_von_Forschungsdaten_und_T.xml
32,DUMONT_Stefan_Ein_Brief___zwei_Perspektiven__Stellenkommenta,DUMONT_Stefan_Ein_Brief___zwei_Perspektiven__Stellenkommenta.pdf,DUMONT_Stefan_Ein_Brief___zwei_Perspektiven__Stellenkommenta.xml
33,DUNST_Alexander_Hin_zu_einer_Visuellen_Stilometrie__Automati,DUNST_Alexander_Hin_zu_einer_Visuellen_Stilometrie__Automati.pdf,DUNST_Alexander_Hin_zu_einer_Visuellen_Stilometrie__Automati.xml
34,DU_Keli_Sentimentanalyse_in_unstrukturierten_Texten__am_Bsp_,DU_Keli_Sentimentanalyse_in_unstrukturierten_Texten__am_Bsp_.pdf,DU_Keli_Sentimentanalyse_in_unstrukturierten_Texten__am_Bsp_.xml
35,D_NGELI_Peter_Von_der_geschlossenen_Forschungsdatenbank_zur_,D_NGELI_Peter_Von_der_geschlossenen_Forschungsdatenbank_zur_.pdf,D_NGELI_Peter_Von_der_geschlossenen_Forschungsdatenbank_zur_.xml
36,D_RK_Marian_Der_Sammlung_gerecht_werden__Kritisch_generative,D_RK_Marian_Der_Sammlung_gerecht_werden__Kritisch_generative.pdf,D_RK_Marian_Der_Sammlung_gerecht_werden__Kritisch_generative.xml
37,EIDE__yvind_Modellieren_durch_mediale_Transformation__Das_Th,EIDE__yvind_Modellieren_durch_mediale_Transformation__Das_Th.pdf,EIDE__yvind_Modellieren_durch_mediale_Transformation__Das_Th.xml
38,ERNST_Thomas_Critical_Digital_Cultural_Studies__Digitale_Kul,ERNST_Thomas_Critical_Digital_Cultural_Studies__Digitale_Kul.pdf,ERNST_Thomas_Critical_Digital_Cultural_Studies__Digitale_Kul.xml
39,FECHNER_Martin_Eine_nachhaltige_Pr_sentationsschicht_f_r_dig,FECHNER_Martin_Eine_nachhaltige_Pr_sentationsschicht_f_r_dig.pdf,FECHNER_Martin_Eine_nachhaltige_Pr_sentationsschicht_f_r_dig.xml
40,FICHTNER_Mark_Von_Drupal_8_zur_virtuellen_Forschungsumgebung,FICHTNER_Mark_Von_Drupal_8_zur_virtuellen_Forschungsumgebung.pdf,FICHTNER_Mark_Von_Drupal_8_zur_virtuellen_Forschungsumgebung.xml
41,FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto,FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.pdf,FISCHER_Frank_Netzwerkanalytischer_Blick_auf_die_Dramen_Anto.xml
42,FISCHER_Frank__Liebe_und_Tod_in_der_Deutschen_Nationalbiblio,FISCHER_Frank__Liebe_und_Tod_in_der_Deutschen_Nationalbiblio.pdf,FISCHER_Frank__Liebe_und_Tod_in_der_Deutschen_Nationalbiblio.xml
43,FRANK_Ingo_Digitale_Vernunft_zwischen_Text_und_Diagramm,FRANK_Ingo_Digitale_Vernunft_zwischen_Text_und_Diagramm.pdf,FRANK_Ingo_Digitale_Vernunft_zwischen_Text_und_Diagramm.xml
44,FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi,FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.pdf,FRANZINI_Greta_Digital_Medievalist__A_Web_Community_for_Medi.xml
45,FRIEDRICHS_Kristina_Digitale_Bildrepositorien___wirkliche_Ar,FRIEDRICHS_Kristina_Digitale_Bildrepositorien___wirkliche_Ar.pdf,FRIEDRICHS_Kristina_Digitale_Bildrepositorien___wirkliche_Ar.xml
46,GARC_S_Juan_Kritik_der_Digitalit_t__am_Beispiel_der_digitale,GARC_S_Juan_Kritik_der_Digitalit_t__am_Beispiel_der_digitale.pdf,GARC_S_Juan_Kritik_der_Digitalit_t__am_Beispiel_der_digitale.xml
47,GERHARDS_Simone_Aus_erster_Hand___3000_Jahre_Kursivschrift_d,GERHARDS_Simone_Aus_erster_Hand___3000_Jahre_Kursivschrift_d.pdf,GERHARDS_Simone_Aus_erster_Hand___3000_Jahre_Kursivschrift_d.xml
48,GIUS_Evelyn_hermA__Zur_Rolle_von_Annotationen_in_hermeneutis,GIUS_Evelyn_hermA__Zur_Rolle_von_Annotationen_in_hermeneutis.pdf,GIUS_Evelyn_hermA__Zur_Rolle_von_Annotationen_in_hermeneutis.xml
49,GL_CK_David_An_den_Grenzen_der_Interoperabilit_t__Eine_kriti,GL_CK_David_An_den_Grenzen_der_Interoperabilit_t__Eine_kriti.pdf,GL_CK_David_An_den_Grenzen_der_Interoperabilit_t__Eine_kriti.xml
50,GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di,GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.pdf,GODLER_Katharina_musilonline___integral_l_sen__Dialogfeld_Di.xml
51,GOEDEL_Martina_Digitale_Differenz__Luhmanns_Zettelkasten_als,GOEDEL_Martina_Digitale_Differenz__Luhmanns_Zettelkasten_als.pdf,GOEDEL_Martina_Digitale_Differenz__Luhmanns_Zettelkasten_als.xml
52,GRADL_Tobias_Ist_die_DARIAH_DE_Forschungsinfrastruktur_fit_f,GRADL_Tobias_Ist_die_DARIAH_DE_Forschungsinfrastruktur_fit_f.pdf,GRADL_Tobias_Ist_die_DARIAH_DE_Forschungsinfrastruktur_fit_f.xml
53,GRONEMEYER_Sven_Vagheit_hoch_Zweifel_plus_Kritik__Die_Bewert,GRONEMEYER_Sven_Vagheit_hoch_Zweifel_plus_Kritik__Die_Bewert.pdf,GRONEMEYER_Sven_Vagheit_hoch_Zweifel_plus_Kritik__Die_Bewert.xml
54,GROSSE_Peggy_Interpretation_und_Unsch_rfe_bei_der_semantisch,GROSSE_Peggy_Interpretation_und_Unsch_rfe_bei_der_semantisch.pdf,GROSSE_Peggy_Interpretation_und_Unsch_rfe_bei_der_semantisch.xml
55,HAAF_Susanne__Perspektiven_auf_ein_Korpus__Kombinationen_qua,HAAF_Susanne__Perspektiven_auf_ein_Korpus__Kombinationen_qua.pdf,HAAF_Susanne__Perspektiven_auf_ein_Korpus__Kombinationen_qua.xml
56,HANNESSCHL_GER_Vanessa_Menschen_gendern__Einige_Gedanken__be,HANNESSCHL_GER_Vanessa_Menschen_gendern__Einige_Gedanken__be.pdf,HANNESSCHL_GER_Vanessa_Menschen_gendern__Einige_Gedanken__be.xml
57,HECKELEN_Malte_Lars_Verhaltensmuster_in_Massendiskursen__Ein,HECKELEN_Malte_Lars_Verhaltensmuster_in_Massendiskursen__Ein.pdf,HECKELEN_Malte_Lars_Verhaltensmuster_in_Massendiskursen__Ein.xml
58,HELLING_Patrick_Sechs_Wege_der_FRBRisierung_von_Textverkn_pf,HELLING_Patrick_Sechs_Wege_der_FRBRisierung_von_Textverkn_pf.pdf,HELLING_Patrick_Sechs_Wege_der_FRBRisierung_von_Textverkn_pf.xml
59,HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi,HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi.pdf,HELLRICH_Johannes__Wenn_der_Funke__berspringt___Word_Embeddi.xml
60,HENNY_KRAHMER_Ulrike_Alternative_Gattungstheorien__Das_Proto,HENNY_KRAHMER_Ulrike_Alternative_Gattungstheorien__Das_Proto.pdf,HENNY_KRAHMER_Ulrike_Alternative_Gattungstheorien__Das_Proto.xml
61,HERRMANN_J__Berenike_Praktische_Tagger_Kritik__Zur_Evaluatio,HERRMANN_J__Berenike_Praktische_Tagger_Kritik__Zur_Evaluatio.pdf,HERRMANN_J__Berenike_Praktische_Tagger_Kritik__Zur_Evaluatio.xml
62,HESSBR_GGEN_WALTER_Stefan__Die_Angst_vor_dem__Elektronengehi,HESSBR_GGEN_WALTER_Stefan__Die_Angst_vor_dem__Elektronengehi.pdf,HESSBR_GGEN_WALTER_Stefan__Die_Angst_vor_dem__Elektronengehi.xml
63,HIEBERT_Matthew_Deutsche_Geschichte_Digital__Ergebnisse_der_,HIEBERT_Matthew_Deutsche_Geschichte_Digital__Ergebnisse_der_.pdf,HIEBERT_Matthew_Deutsche_Geschichte_Digital__Ergebnisse_der_.xml
64,HODEL_Tobias_Automatic_Text_Recognition__Mit_Transkribus_Tex,HODEL_Tobias_Automatic_Text_Recognition__Mit_Transkribus_Tex.pdf,HODEL_Tobias_Automatic_Text_Recognition__Mit_Transkribus_Tex.xml
65,HODEL_Tobias_Konsequenzen_automatischer_Texterkennung___Ein_,HODEL_Tobias_Konsequenzen_automatischer_Texterkennung___Ein_.pdf,HODEL_Tobias_Konsequenzen_automatischer_Texterkennung___Ein_.xml
66,HOENEN_Armin_Principles_Aiding_in_Reading_Abbreviations_in_O,HOENEN_Armin_Principles_Aiding_in_Reading_Abbreviations_in_O.pdf,HOENEN_Armin_Principles_Aiding_in_Reading_Abbreviations_in_O.xml
67,HOFFMANN_Christoph_Science_as_a_Service_,HOFFMANN_Christoph_Science_as_a_Service_.pdf,HOFFMANN_Christoph_Science_as_a_Service_.xml
68,HOMBURG_Timo_Semantische_Extraktion_auf_antiken_Schriften_am,HOMBURG_Timo_Semantische_Extraktion_auf_antiken_Schriften_am.pdf,HOMBURG_Timo_Semantische_Extraktion_auf_antiken_Schriften_am.xml
69,HUG_Marius__BeWeB_3D___Zur_Digitalisierung_interaktiver_Buch,HUG_Marius__BeWeB_3D___Zur_Digitalisierung_interaktiver_Buch.pdf,HUG_Marius__BeWeB_3D___Zur_Digitalisierung_interaktiver_Buch.xml
70,JACKE_Janina_Digital_vs__Humanities__Didaktische_Aufbereitun,JACKE_Janina_Digital_vs__Humanities__Didaktische_Aufbereitun.pdf,JACKE_Janina_Digital_vs__Humanities__Didaktische_Aufbereitun.xml
71,KAMOCKI_Pawel_CLARIN_Legal_Information_Plattformen_und_Legal,KAMOCKI_Pawel_CLARIN_Legal_Information_Plattformen_und_Legal.pdf,KAMOCKI_Pawel_CLARIN_Legal_Information_Plattformen_und_Legal.xml
72,KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre,KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.pdf,KAMOCKI_Pawel_Das_neue__Gesetz_zur_Angleichung_des_Urheberre.xml
73,KESSLER_Linda_Entit_ten_im_Fokus_am_Beispiel_von_Captivity_N,KESSLER_Linda_Entit_ten_im_Fokus_am_Beispiel_von_Captivity_N.pdf,KESSLER_Linda_Entit_ten_im_Fokus_am_Beispiel_von_Captivity_N.xml
74,KLAFFKI_Lisa__Kann_man_da_eben_mal_was_eintragen_und_visuali,KLAFFKI_Lisa__Kann_man_da_eben_mal_was_eintragen_und_visuali.pdf,KLAFFKI_Lisa__Kann_man_da_eben_mal_was_eintragen_und_visuali.xml
75,KLEMSTEIN_Franziska_Denkmalpflege_in_der_DDR__Analoge_Netzwe,KLEMSTEIN_Franziska_Denkmalpflege_in_der_DDR__Analoge_Netzwe.pdf,KLEMSTEIN_Franziska_Denkmalpflege_in_der_DDR__Analoge_Netzwe.xml
76,KLEYMANN_Rabea_Perspektiven_kritischer_Interfaces_f_r_die_Di,KLEYMANN_Rabea_Perspektiven_kritischer_Interfaces_f_r_die_Di.pdf,KLEYMANN_Rabea_Perspektiven_kritischer_Interfaces_f_r_die_Di.xml
77,KLINGER_Roman_A_Reporting_Tool_for_Relational_Visualization_,KLINGER_Roman_A_Reporting_Tool_for_Relational_Visualization_.pdf,KLINGER_Roman_A_Reporting_Tool_for_Relational_Visualization_.xml
78,KLINGER_Roman_Digitale_Modellierung_von_Figurenkomplexit_t_a,KLINGER_Roman_Digitale_Modellierung_von_Figurenkomplexit_t_a.pdf,KLINGER_Roman_Digitale_Modellierung_von_Figurenkomplexit_t_a.xml
79,KNOTH_Alexander_Dokumentenarbeit_mit_hierarchisch_strukturie,KNOTH_Alexander_Dokumentenarbeit_mit_hierarchisch_strukturie.pdf,KNOTH_Alexander_Dokumentenarbeit_mit_hierarchisch_strukturie.xml
80,KOCH_Carina_Die_illustrierte_Postkarte_und_die_digitalen_Gei,KOCH_Carina_Die_illustrierte_Postkarte_und_die_digitalen_Gei.pdf,KOCH_Carina_Die_illustrierte_Postkarte_und_die_digitalen_Gei.xml
81,KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels,KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.pdf,KONLE_Leonard_Analysing_Direct_Speech_in_German_Novels.xml
82,KOUMPIS_Adamantios_Memes_produzieren_digitale_Gef_hle__Die_S,KOUMPIS_Adamantios_Memes_produzieren_digitale_Gef_hle__Die_S.pdf,KOUMPIS_Adamantios_Memes_produzieren_digitale_Gef_hle__Die_S.xml
83,KRAEMER_Der_Stachel_des_Digitalen,KRAEMER_Der_Stachel_des_Digitalen.pdf,KRAEMER_Der_Stachel_des_Digitalen.xml
84,KRAUTTER_Benjamin_Quantitatives__close_reading___Vier_mikroa,KRAUTTER_Benjamin_Quantitatives__close_reading___Vier_mikroa.pdf,KRAUTTER_Benjamin_Quantitatives__close_reading___Vier_mikroa.xml
85,KRONENWETT_Simone_Die_Macht_der_Daten___vom_konsequenten_Umg,KRONENWETT_Simone_Die_Macht_der_Daten___vom_konsequenten_Umg.pdf,KRONENWETT_Simone_Die_Macht_der_Daten___vom_konsequenten_Umg.xml
86,KRUG_Markus_Annotation_and_beyond___Using_ATHEN,KRUG_Markus_Annotation_and_beyond___Using_ATHEN.pdf,KRUG_Markus_Annotation_and_beyond___Using_ATHEN.xml
87,KR_GER_B_rbel_Kleriker_des_Alten_Reiches_in_der_Digitalen_We,KR_GER_B_rbel_Kleriker_des_Alten_Reiches_in_der_Digitalen_We.pdf,KR_GER_B_rbel_Kleriker_des_Alten_Reiches_in_der_Digitalen_We.xml
88,LAUBROCK_Jochen_Computationale_Beschreibung_visuellen_Materi,LAUBROCK_Jochen_Computationale_Beschreibung_visuellen_Materi.pdf,LAUBROCK_Jochen_Computationale_Beschreibung_visuellen_Materi.xml
89,LAUER_Gerhard_Kulturelle_Evolution__Zur_Kritik_der_literatur,LAUER_Gerhard_Kulturelle_Evolution__Zur_Kritik_der_literatur.pdf,LAUER_Gerhard_Kulturelle_Evolution__Zur_Kritik_der_literatur.xml
90,LEBHERZ_Daniel_Text_Mining_und_Computersimulation_zur_Analys,LEBHERZ_Daniel_Text_Mining_und_Computersimulation_zur_Analys.pdf,LEBHERZ_Daniel_Text_Mining_und_Computersimulation_zur_Analys.xml
91,LINDEMANN_David__Lexikographie__Explizite_und_implizite_Vero,LINDEMANN_David__Lexikographie__Explizite_und_implizite_Vero.pdf,LINDEMANN_David__Lexikographie__Explizite_und_implizite_Vero.xml
92,LOEBEL_Jens_Martin_Digitale_Wissenschaft___Eine_Podcastreihe,LOEBEL_Jens_Martin_Digitale_Wissenschaft___Eine_Podcastreihe.pdf,LOEBEL_Jens_Martin_Digitale_Wissenschaft___Eine_Podcastreihe.xml
93,LORDICK_Harald_Annotationen_anhand_der_Gemeinsamen_Normdatei,LORDICK_Harald_Annotationen_anhand_der_Gemeinsamen_Normdatei.pdf,LORDICK_Harald_Annotationen_anhand_der_Gemeinsamen_Normdatei.xml
94,L_CKER_HERSCHKOWITZ_Johannes_A__Fachspezifische_Herausforder,L_CKER_HERSCHKOWITZ_Johannes_A__Fachspezifische_Herausforder.pdf,L_CKER_HERSCHKOWITZ_Johannes_A__Fachspezifische_Herausforder.xml
95,MANDL_Thomas_Hinterlistig___schelmisch___treulos___Sentiment,MANDL_Thomas_Hinterlistig___schelmisch___treulos___Sentiment.pdf,MANDL_Thomas_Hinterlistig___schelmisch___treulos___Sentiment.xml
96,MATHIAK_Brigitte_Nutzertests_an_kritischen_Editionen___Print,MATHIAK_Brigitte_Nutzertests_an_kritischen_Editionen___Print.pdf,MATHIAK_Brigitte_Nutzertests_an_kritischen_Editionen___Print.xml
97,MAYR_Eva_Digital_HUMANities___Eine_benutzerzentrierte_Perspe,MAYR_Eva_Digital_HUMANities___Eine_benutzerzentrierte_Perspe.pdf,MAYR_Eva_Digital_HUMANities___Eine_benutzerzentrierte_Perspe.xml
98,MOELLER_Katrin_Die_Summe_geisteswissenschaftlicher_Methoden_,MOELLER_Katrin_Die_Summe_geisteswissenschaftlicher_Methoden_.pdf,MOELLER_Katrin_Die_Summe_geisteswissenschaftlicher_Methoden_.xml
99,MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_,MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_.pdf,MOELLER_Katrin_Ist_kooperativ_jetzt_umsonst__Die_Ausweisung_.xml
100,MONDACA_Francisco_Syndred___A_Syntax_Driven_Editor_for_Lexic,MONDACA_Francisco_Syndred___A_Syntax_Driven_Editor_for_Lexic.pdf,MONDACA_Francisco_Syndred___A_Syntax_Driven_Editor_for_Lexic.xml
101,M_LLER_Andreas_Digitized_Inhumanities__Qualitative_Inhaltsan,M_LLER_Andreas_Digitized_Inhumanities__Qualitative_Inhaltsan.pdf,M_LLER_Andreas_Digitized_Inhumanities__Qualitative_Inhaltsan.xml
102,M_LLER_BIRN_Claudia_Wikidata__Nutzungsm_glichkeiten_und_Anwe,M_LLER_BIRN_Claudia_Wikidata__Nutzungsm_glichkeiten_und_Anwe.pdf,M_LLER_BIRN_Claudia_Wikidata__Nutzungsm_glichkeiten_und_Anwe.xml
103,M_NSTER_Sander_Modellathon__Digitale_3D_Rekonstruktion__,M_NSTER_Sander_Modellathon__Digitale_3D_Rekonstruktion__.pdf,M_NSTER_Sander_Modellathon__Digitale_3D_Rekonstruktion__.xml
104,M_NSTER_Sander_Stadtgeschichtliche_Forschung_und_Vermittlung,M_NSTER_Sander_Stadtgeschichtliche_Forschung_und_Vermittlung.pdf,M_NSTER_Sander_Stadtgeschichtliche_Forschung_und_Vermittlung.xml
105,NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B,NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.pdf,NASAREK_Robert_Die_Ontologie_historischer_deutschprachiger_B.xml
106,NEOVESKY_Anna_IncipitSearch___Vernetzung_musikwissenschaftli,NEOVESKY_Anna_IncipitSearch___Vernetzung_musikwissenschaftli.pdf,NEOVESKY_Anna_IncipitSearch___Vernetzung_musikwissenschaftli.xml
107,NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi,NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.pdf,NEUBER_Frederike_Alles_ist_im_Fluss___Ressourcen_und_Rezensi.xml
108,NEUEFEIND_Claes__VedaWeb___eine_webbasierte_Plattform_f_r_di,NEUEFEIND_Claes__VedaWeb___eine_webbasierte_Plattform_f_r_di.pdf,NEUEFEIND_Claes__VedaWeb___eine_webbasierte_Plattform_f_r_di.xml
109,ODEBRECHT_Carolin_Suche_und_Visualisierung_von_Annotationen_,ODEBRECHT_Carolin_Suche_und_Visualisierung_von_Annotationen_.pdf,ODEBRECHT_Carolin_Suche_und_Visualisierung_von_Annotationen_.xml
110,PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg,PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.pdf,PFEIFFER_Jasmin_Realit_t_programmieren__Zum_Einfluss_von_Alg.xml
111,PIELSTR_M_Steffen_LDA_Topic_Modeling__ber_ein_graphisches_In,PIELSTR_M_Steffen_LDA_Topic_Modeling__ber_ein_graphisches_In.pdf,PIELSTR_M_Steffen_LDA_Topic_Modeling__ber_ein_graphisches_In.xml
112,PIELSTR_M_Steffen__Embedded_Humanities,PIELSTR_M_Steffen__Embedded_Humanities.pdf,PIELSTR_M_Steffen__Embedded_Humanities.xml
113,POLLIN_Christopher__MEDEA__Datenkonsistenz_mittels_Ontologie,POLLIN_Christopher__MEDEA__Datenkonsistenz_mittels_Ontologie.pdf,POLLIN_Christopher__MEDEA__Datenkonsistenz_mittels_Ontologie.xml
114,PROISL_Thomas_Delta_vs__N_Gram_Tracing__Wie_robust_ist_die_A,PROISL_Thomas_Delta_vs__N_Gram_Tracing__Wie_robust_ist_die_A.pdf,PROISL_Thomas_Delta_vs__N_Gram_Tracing__Wie_robust_ist_die_A.xml
