,Title in metadata,Bundle name,Pdf file,XML file
10,Maschinelles Lernen lernen: Ein CRETA-Hackatorial zur reflektierten automatischen Textanalyse,116_final-KREMER_Gerhard_Maschinelles_Lernen_lernen__Ein_CRETA_Hackato,116_final-KREMER_Gerhard_Maschinelles_Lernen_lernen__Ein_CRETA_Hackato.pdf,116_final-KREMER_Gerhard_Maschinelles_Lernen_lernen__Ein_CRETA_Hackato.xml
11,Best-practices zur Erkennung alter Drucke und Handschriften. Die Nutzung von Transkribus large- und small-scale,117_final-HODEL_Tobias_Best_practices_zur_Erkennung_alter_Drucke_und_H,117_final-HODEL_Tobias_Best_practices_zur_Erkennung_alter_Drucke_und_H.pdf,117_final-HODEL_Tobias_Best_practices_zur_Erkennung_alter_Drucke_und_H.xml
12,"Deep Learning für visuelle Medien: Annotation, Training, Analyse",118_final-HOWANITZ_Gernot_Deep_Learning_f_r_visuelle_Medien__Annotatio,118_final-HOWANITZ_Gernot_Deep_Learning_f_r_visuelle_Medien__Annotatio.pdf,118_final-HOWANITZ_Gernot_Deep_Learning_f_r_visuelle_Medien__Annotatio.xml
13,Game On! Digitale Archäologie und Edition zu(m) Spielen,119_final-ROEDER_Torsten_Game_On_,119_final-ROEDER_Torsten_Game_On_.pdf,119_final-ROEDER_Torsten_Game_On_.xml
14,Geschichte aus erster Hand – Der Aufbau eines nationalen Zeitungsportals unter Berücksichtigung der Bedürfnisse verschiedener Nutzergruppen,121_final-LANDES_Lisa_Geschichte_aus_erster_Hand___Der_Aufbau_eines_na,121_final-LANDES_Lisa_Geschichte_aus_erster_Hand___Der_Aufbau_eines_na.pdf,121_final-LANDES_Lisa_Geschichte_aus_erster_Hand___Der_Aufbau_eines_na.xml
15,Anwendungen von DH-Methoden in der Erschließung und Digitalisierung von Kulturerbe. Ein Vorschlag zur Systematisierung,122_final-FRANKEN_Lina_Anwendungen_von_DH_Methoden_in_der_Erschlie_ung,122_final-FRANKEN_Lina_Anwendungen_von_DH_Methoden_in_der_Erschlie_ung.pdf,122_final-FRANKEN_Lina_Anwendungen_von_DH_Methoden_in_der_Erschlie_ung.xml
16,OCR4all – Eine semi-automatische Open-Source-Software für die OCR historischer Drucke,125_final-WEHNER_Maximilian_OCR4all___Eine_semi_automatische_Open_Sour,125_final-WEHNER_Maximilian_OCR4all___Eine_semi_automatische_Open_Sour.pdf,125_final-WEHNER_Maximilian_OCR4all___Eine_semi_automatische_Open_Sour.xml
17,"CASOTEX – Ein Projekt, das sozialwissenschaftliche, interpretative Methoden mit maschinellen Lernverfahren verschränkt",127_final-ALBRECHT_Jens_CASOTEX___Ein_Projekt__das_sozialwissenschaftl,127_final-ALBRECHT_Jens_CASOTEX___Ein_Projekt__das_sozialwissenschaftl.pdf,127_final-ALBRECHT_Jens_CASOTEX___Ein_Projekt__das_sozialwissenschaftl.xml
18,"Ikonizität als Erkenntnismittel – Vollständigkeit, Verständlichkeit und Kontextualisierung als Grundprinzipien der Visualisierung",128_final-FREYBERG_Linda_Ikonizit_t_als_Erkenntnismittel___Vollst_ndig,128_final-FREYBERG_Linda_Ikonizit_t_als_Erkenntnismittel___Vollst_ndig.pdf,128_final-FREYBERG_Linda_Ikonizit_t_als_Erkenntnismittel___Vollst_ndig.xml
19,"Spielräume des digitalen Publizierens nutzen: Das Online Journal „Entangled Religions“ als ,Research Hub’",129_final-HEINIG_Julia_Spielr_ume_des_digitalen_Publizierens_nutzen__D,129_final-HEINIG_Julia_Spielr_ume_des_digitalen_Publizierens_nutzen__D.pdf,129_final-HEINIG_Julia_Spielr_ume_des_digitalen_Publizierens_nutzen__D.xml
20,Bildrepositorien und Forschung mit digitalen Bildern im Bereich der Kunstgeschichte,130_final-KR_BER_Cindy_BILDREPOSITORIEN_UND_FORSCHUNG_MIT_DIGITALEN_BI,130_final-KR_BER_Cindy_BILDREPOSITORIEN_UND_FORSCHUNG_MIT_DIGITALEN_BI.pdf,130_final-KR_BER_Cindy_BILDREPOSITORIEN_UND_FORSCHUNG_MIT_DIGITALEN_BI.xml
21,Integrating user-specified Knowledge for semi-automatic Coreference Resolution,134_final-SCHMIDT_David_Integrating_user_specified_Knowledge_for_semi_,134_final-SCHMIDT_David_Integrating_user_specified_Knowledge_for_semi_.pdf,134_final-SCHMIDT_David_Integrating_user_specified_Knowledge_for_semi_.xml
22,Der Event Crawl als Ansatz für den Aufbau von Webarchiven am Beispiel von politischen Wahlkämpfen,135_final-ECKL_Markus_Der_Event_Crawl_als_Ansatz_f_r_den_Aufbau_von_We,135_final-ECKL_Markus_Der_Event_Crawl_als_Ansatz_f_r_den_Aufbau_von_We.pdf,135_final-ECKL_Markus_Der_Event_Crawl_als_Ansatz_f_r_den_Aufbau_von_We.xml
23,Vom Phänomen zur Analyse – ein CRETA-Workshop zur reflektierten Operationalisierung in den DH,136_final-PAGEL_Janis_Vom_Ph_nomen_zur_Analyse___ein_CRETA_Workshop_zu,136_final-PAGEL_Janis_Vom_Ph_nomen_zur_Analyse___ein_CRETA_Workshop_zu.pdf,136_final-PAGEL_Janis_Vom_Ph_nomen_zur_Analyse___ein_CRETA_Workshop_zu.xml
24,Das gute Glas – Glasgestaltung im Zeitalter der guten Form,137_final-KRAFT_Anneli_Das_gute_Glas___Glasgestaltung_im_Zeitalter_der,137_final-KRAFT_Anneli_Das_gute_Glas___Glasgestaltung_im_Zeitalter_der.pdf,137_final-KRAFT_Anneli_Das_gute_Glas___Glasgestaltung_im_Zeitalter_der.xml
25,The rapid rise of Fraktur,139_final-WEICHSELBAUMER_Nikolaus_The_rapid_rise_of_Fraktur,139_final-WEICHSELBAUMER_Nikolaus_The_rapid_rise_of_Fraktur.pdf,139_final-WEICHSELBAUMER_Nikolaus_The_rapid_rise_of_Fraktur.xml
26,„As a Hobby at First“ Künstlerische Produktion als Modellierung,140_final-BERNHART_Toni__As_a_Hobby_at_First_,140_final-BERNHART_Toni__As_a_Hobby_at_First_.pdf,140_final-BERNHART_Toni__As_a_Hobby_at_First_.xml
27,Besuch im »Marstheater« – Eine Netzwerkmodellierung von Karl Kraus' Riesendrama »Die letzten Tage der Menschheit«,141_final-FISCHER_Frank_Besuch_im__Marstheater____Eine_Netzwerkmodelli,141_final-FISCHER_Frank_Besuch_im__Marstheater____Eine_Netzwerkmodelli.pdf,141_final-FISCHER_Frank_Besuch_im__Marstheater____Eine_Netzwerkmodelli.xml
28,"Varianz, Ambiguität, Unsicherheit. Methodische Schlaglichter zur mittelniederdeutschen Grammatikographie",142_final-IHDEN_Sarah_Varianz__Ambiguit_t__Unsicherheit__Methodische_S,142_final-IHDEN_Sarah_Varianz__Ambiguit_t__Unsicherheit__Methodische_S.pdf,142_final-IHDEN_Sarah_Varianz__Ambiguit_t__Unsicherheit__Methodische_S.xml
29,Interpretations- spielräume. Undogmatisches Annotieren literarischer Texte in CATMA 6,143_final-HORSTMANN_Jan_Interpretationsspielr_ume__Undogmatisches_Anno,143_final-HORSTMANN_Jan_Interpretationsspielr_ume__Undogmatisches_Anno.pdf,143_final-HORSTMANN_Jan_Interpretationsspielr_ume__Undogmatisches_Anno.xml
30,Welche Beziehungen steuern das Briefkorrespondenz- netzwerk der Reformatoren? Eine Netzwerkanalyse,146_final-ROLLER_Ramona_Welche_Beziehungen_steuern_das_Briefkorrespond,146_final-ROLLER_Ramona_Welche_Beziehungen_steuern_das_Briefkorrespond.pdf,146_final-ROLLER_Ramona_Welche_Beziehungen_steuern_das_Briefkorrespond.xml
31,Intertextualität in literarischen Texten und darüber hinaus,147_final-REITER_Nils_Intertextualit_t_in_literarischen_Texten_und_dar,147_final-REITER_Nils_Intertextualit_t_in_literarischen_Texten_und_dar.pdf,147_final-REITER_Nils_Intertextualit_t_in_literarischen_Texten_und_dar.xml
32,Der Spielraum zwischen „zu wenig“ und „zu viel“,148_final-DU_Keli_Der_Spielraum_zwischen__zu_wenig__und__zu_viel_,148_final-DU_Keli_Der_Spielraum_zwischen__zu_wenig__und__zu_viel_.pdf,148_final-DU_Keli_Der_Spielraum_zwischen__zu_wenig__und__zu_viel_.xml
33,A Linked Open Data Platform for Historical Geographic Data,149_final-G_RZ_G_nther_A_Linked_Open_Data_Platform_for_Historical_Geog,149_final-G_RZ_G_nther_A_Linked_Open_Data_Platform_for_Historical_Geog.pdf,149_final-G_RZ_G_nther_A_Linked_Open_Data_Platform_for_Historical_Geog.xml
34,"Wege bereiten, vermitteln und Denkräume schaffen! Digital Humanities als community-induziertes Phänomen",150_final-WUTTKE_Ulrike_Wege_bereiten__vermitteln_und_Denkr_ume_schaff,150_final-WUTTKE_Ulrike_Wege_bereiten__vermitteln_und_Denkr_ume_schaff.pdf,150_final-WUTTKE_Ulrike_Wege_bereiten__vermitteln_und_Denkr_ume_schaff.xml
35,"Romeo, Freund des Mercutio: Semi-Automatische Extraktion von Beziehungen zwischen dramatischen Figuren",153_final-WIEDMER_Nathalie_Romeo__Freund_des_Mercutio__Semi_Automatisc,153_final-WIEDMER_Nathalie_Romeo__Freund_des_Mercutio__Semi_Automatisc.pdf,153_final-WIEDMER_Nathalie_Romeo__Freund_des_Mercutio__Semi_Automatisc.xml
36,"Geisteswissenschaftliches Forschungsdatenmanagement in der Lehre – Konzepte, Methoden, Erfahrungen",154_final-HELLING_Patrick_Geisteswissenschaftliches_Forschungsdatenman,154_final-HELLING_Patrick_Geisteswissenschaftliches_Forschungsdatenman.pdf,154_final-HELLING_Patrick_Geisteswissenschaftliches_Forschungsdatenman.xml
37,"Routinen, Ressourcen und Tools der digitalen Texterforschung. Ein einfacher Einstieg",156_final-HORSTMANN_Jan_Routinen__Ressourcen_und_Tools_der_digitalen_T,156_final-HORSTMANN_Jan_Routinen__Ressourcen_und_Tools_der_digitalen_T.pdf,156_final-HORSTMANN_Jan_Routinen__Ressourcen_und_Tools_der_digitalen_T.xml
38,Die Kanonfrage 2.0,157_final-HALL_Mark_Die_Kanonfrage_2_0,157_final-HALL_Mark_Die_Kanonfrage_2_0.pdf,157_final-HALL_Mark_Die_Kanonfrage_2_0.xml
39,Becoming Urban: Ein Spiel mit Räumen,158_final-B_RGERMEISTER_Martina_Becoming_Urban__Ein_Spiel_mit_R_umen,158_final-B_RGERMEISTER_Martina_Becoming_Urban__Ein_Spiel_mit_R_umen.pdf,158_final-B_RGERMEISTER_Martina_Becoming_Urban__Ein_Spiel_mit_R_umen.xml
40,OMMR4all - ein semiautomatischer Online-Editor für mittelalterliche Musiknotationen,160_final-WICK_Christoph_OMMR4all___ein_semiautomatischer_Online_Edito,160_final-WICK_Christoph_OMMR4all___ein_semiautomatischer_Online_Edito.pdf,160_final-WICK_Christoph_OMMR4all___ein_semiautomatischer_Online_Edito.xml
41,What’s in the news? (Erfolgs-)Rezepte für das wissenschaftliche Arbeiten mit digitalisierten Zeitungen,161_final-KECK_Jana_What_s_in_the_news___Erfolgs__Rezepte_f_r_das_wiss,161_final-KECK_Jana_What_s_in_the_news___Erfolgs__Rezepte_f_r_das_wiss.pdf,161_final-KECK_Jana_What_s_in_the_news___Erfolgs__Rezepte_f_r_das_wiss.xml
42,Anforderungen an das Forschungsdaten- management an einer mittelgroßen Universität und Konzeption einer prototypischen Lösung,162_final-JEGAN_Robin_Anforderungen_an_das_Forschungsdatenmanagement_a,162_final-JEGAN_Robin_Anforderungen_an_das_Forschungsdatenmanagement_a.pdf,162_final-JEGAN_Robin_Anforderungen_an_das_Forschungsdatenmanagement_a.xml
43,"Annotieren, Analysieren, Visualisieren – Einführung in CATMA 6",163_final-HORSTMANN_Jan_Annotieren__Analysieren__Visualisieren___Einf_,163_final-HORSTMANN_Jan_Annotieren__Analysieren__Visualisieren___Einf_.pdf,163_final-HORSTMANN_Jan_Annotieren__Analysieren__Visualisieren___Einf_.xml
44,Wie wir lesen könnten. StreamreaderPS 0.1,164_final-SAHLE_Patrick_Wie_wir_lesen_k_nnten__Streamreader_sub_PS__su,164_final-SAHLE_Patrick_Wie_wir_lesen_k_nnten__Streamreader_sub_PS__su.pdf,164_final-SAHLE_Patrick_Wie_wir_lesen_k_nnten__Streamreader_sub_PS__su.xml
45,BeyondTheNotes: Ein Tool zur quantitativen Analyse in den digitalen Musikwissenschaften,165_final-SCHMIDT_Thomas_BeyondTheNotes__Ein_Tool_zur_quantitativen_An,165_final-SCHMIDT_Thomas_BeyondTheNotes__Ein_Tool_zur_quantitativen_An.pdf,165_final-SCHMIDT_Thomas_BeyondTheNotes__Ein_Tool_zur_quantitativen_An.xml
46,Linked Ogham Stones – Semantische Modellierung und prototypische Analyse irischer Ogham-Inschriften,166_final-HOMBURG_Timo_____Linked_Ogham_Stones___Semantische_Modellier,166_final-HOMBURG_Timo_____Linked_Ogham_Stones___Semantische_Modellier.pdf,166_final-HOMBURG_Timo_____Linked_Ogham_Stones___Semantische_Modellier.xml
47,Korpusbereinigung für größere Textmengen. Eine (kurze) Problematisierung und ein Lösungsansatz für Duplikate,167_final-GIUS_Evelyn_Korpusbereinigung_f_r_gr__ere_Textmengen,167_final-GIUS_Evelyn_Korpusbereinigung_f_r_gr__ere_Textmengen.pdf,167_final-GIUS_Evelyn_Korpusbereinigung_f_r_gr__ere_Textmengen.xml
48,Computationelle Textanalyse als fünfdimensionales Problem,168_final-GIUS_Evelyn_Computationelle_Textanalyse_als_f_nfdimensionale,168_final-GIUS_Evelyn_Computationelle_Textanalyse_als_f_nfdimensionale.pdf,168_final-GIUS_Evelyn_Computationelle_Textanalyse_als_f_nfdimensionale.xml
49,Positivismus der geistigen Gegenstände: Carnap und die Digital Humanities,169_final-HESSBR_GGEN_WALTER_Stefan_Positivismus_der_geistigen_Gegenst,169_final-HESSBR_GGEN_WALTER_Stefan_Positivismus_der_geistigen_Gegenst.pdf,169_final-HESSBR_GGEN_WALTER_Stefan_Positivismus_der_geistigen_Gegenst.xml
50,"Theatre-Tool: Erschließung, Verknüpfung und Web-Präsentation von Theater- und Musikbeständen mit unterschiedlichen Quellentypen",170_final-CAPELLE_Irmlind_Theatre_Tool__Erschlie_ung__Verkn_pfung_und_,170_final-CAPELLE_Irmlind_Theatre_Tool__Erschlie_ung__Verkn_pfung_und_.pdf,170_final-CAPELLE_Irmlind_Theatre_Tool__Erschlie_ung__Verkn_pfung_und_.xml
51,Würgegriff oder Rettungsanker? – Interpretationsspielräume handschriftlicher (Musik-)Quellen im digitalen Kontext,171_final-VEIT_Joachim_W_rgegriff_oder_Rettungsanker____Interpretation,171_final-VEIT_Joachim_W_rgegriff_oder_Rettungsanker____Interpretation.pdf,171_final-VEIT_Joachim_W_rgegriff_oder_Rettungsanker____Interpretation.xml
52,Passive Präsenz tragischer Hauptfiguren im Drama,173_final-WILLAND_Marcus_Passive_Pr_senz_tragischer_Hauptfiguren_im_Dr,173_final-WILLAND_Marcus_Passive_Pr_senz_tragischer_Hauptfiguren_im_Dr.pdf,173_final-WILLAND_Marcus_Passive_Pr_senz_tragischer_Hauptfiguren_im_Dr.xml
53,Redewiedergabe in Heftromanen und Hochliteratur,174_final-WEIMER_Lukas_Redewiedergabe_in_Heftromanen_und_Hochliteratur,174_final-WEIMER_Lukas_Redewiedergabe_in_Heftromanen_und_Hochliteratur.pdf,174_final-WEIMER_Lukas_Redewiedergabe_in_Heftromanen_und_Hochliteratur.xml
54,Maschinelles Lernen in den Geisteswissenschaften. Systemische und epistemologische Konsequenzen einer neuen Technologie,176_final-HODEL_Tobias_Maschinelles_Lernen_in_den_Geisteswissenschafte,176_final-HODEL_Tobias_Maschinelles_Lernen_in_den_Geisteswissenschafte.pdf,176_final-HODEL_Tobias_Maschinelles_Lernen_in_den_Geisteswissenschafte.xml
55,Digitalisierung und Erschließung arkaner Quellen im Virtuellen Archiv „Sachsen und das östliche Europa“,177_final-KUNZE_Kristina_Digitalisierung_und_Erschlie_ung_arkaner_Quel,177_final-KUNZE_Kristina_Digitalisierung_und_Erschlie_ung_arkaner_Quel.pdf,177_final-KUNZE_Kristina_Digitalisierung_und_Erschlie_ung_arkaner_Quel.xml
56,Volltexttransformation frühneuzeitlicher Drucke – Ergebnisse und Perspektiven des OCR-D-Projekts,178_final-ENGL_Elisabeth_Volltexttransformation_fr_hneuzeitlicher_Druc,178_final-ENGL_Elisabeth_Volltexttransformation_fr_hneuzeitlicher_Druc.pdf,178_final-ENGL_Elisabeth_Volltexttransformation_fr_hneuzeitlicher_Druc.xml
57,Altbausanierung mit Niveau – die Digitalisierung gedruckter Editionen,179_final-PRELL_Martin_Altbausanierung_mit_Niveau___die_Digitalisierun,179_final-PRELL_Martin_Altbausanierung_mit_Niveau___die_Digitalisierun.pdf,179_final-PRELL_Martin_Altbausanierung_mit_Niveau___die_Digitalisierun.xml
58,SubRosa – Multi-Feature-Ähnlichkeitsvergleiche von Untertiteln,181_final-BURGHARDT_Manuel_SubRosa___Multi_Feature__hnlichkeitsverglei,181_final-BURGHARDT_Manuel_SubRosa___Multi_Feature__hnlichkeitsverglei.pdf,181_final-BURGHARDT_Manuel_SubRosa___Multi_Feature__hnlichkeitsverglei.xml
59,Annotation of Non-Standard Varieties,183_final-SELTMANN_Melanie_E__H__Doctoral_Consortium__Melanie_E__H__Se,183_final-SELTMANN_Melanie_E__H__Doctoral_Consortium__Melanie_E__H__Se.pdf,183_final-SELTMANN_Melanie_E__H__Doctoral_Consortium__Melanie_E__H__Se.xml
60,Merkmale registrieren oder textuelle Phänomene identifizieren? Zur Vereinbarkeit von automatischer und manueller Textsortenanalyse,184_final-THIELERT_Frauke_Merkmale_registrieren_oder_textuelle_Ph_nome,184_final-THIELERT_Frauke_Merkmale_registrieren_oder_textuelle_Ph_nome.pdf,184_final-THIELERT_Frauke_Merkmale_registrieren_oder_textuelle_Ph_nome.xml
61,Normdaten der Faktenanker für Qualität im semantischen Retrieval. Der Ausbau der Gemeinsamen Normdatei (GND) im Projekt GND für Kulturdaten (GND4C).,185_final-ROSENK_TTER_Martha_Normdaten_der_Faktenanker_f_r_Qualit_t_im,185_final-ROSENK_TTER_Martha_Normdaten_der_Faktenanker_f_r_Qualit_t_im.pdf,185_final-ROSENK_TTER_Martha_Normdaten_der_Faktenanker_f_r_Qualit_t_im.xml
62,Schmankerl Time Machine. Rechnerisch-explorative Zugänge zur Gastronomie in München,186_final-SCHULZ_Julian_Schmankerl_Time_Machine,186_final-SCHULZ_Julian_Schmankerl_Time_Machine.pdf,186_final-SCHULZ_Julian_Schmankerl_Time_Machine.xml
63,„The Vectorian“ – Eine parametrisierbare Suchmaschine für intertextuelle Referenzen,187_final-BURGHARDT_Manuel__The_Vectorian____Eine_parametrisierbare_Su,187_final-BURGHARDT_Manuel__The_Vectorian____Eine_parametrisierbare_Su.pdf,187_final-BURGHARDT_Manuel__The_Vectorian____Eine_parametrisierbare_Su.xml
64,Science Data Center für Literatur,191_final-ULRICH_Mona_Science_Data_Center_f_r_Literatur,191_final-ULRICH_Mona_Science_Data_Center_f_r_Literatur.pdf,191_final-ULRICH_Mona_Science_Data_Center_f_r_Literatur.xml
65,Confounding variables in Sub-Genre classification: instructive problems,192_final-KONLE_Lenard_Information_Leakage_in_Sub_Genre_classification,192_final-KONLE_Lenard_Information_Leakage_in_Sub_Genre_classification.pdf,192_final-KONLE_Lenard_Information_Leakage_in_Sub_Genre_classification.xml
66,Public Humanities Tools: Der Bedarf an niederschwelligen Services,193_final-HERMES_J_rgen_Public_Humanities_Tools__Der_Bedarf_an_nieders,193_final-HERMES_J_rgen_Public_Humanities_Tools__Der_Bedarf_an_nieders.pdf,193_final-HERMES_J_rgen_Public_Humanities_Tools__Der_Bedarf_an_nieders.xml
67,Modellierung und Verwaltung von DH-Anwendungen in TOSCA,194_final-SCHILDKAMP_Philip_Modellierung_und_Verwaltung_von_DH_Anwendu,194_final-SCHILDKAMP_Philip_Modellierung_und_Verwaltung_von_DH_Anwendu.pdf,194_final-SCHILDKAMP_Philip_Modellierung_und_Verwaltung_von_DH_Anwendu.xml
68,Typisierte Varianz-Analyse von Texten,195_final-REUL_Christian_Typisierte_Varianz_Analyse_von_Texten,195_final-REUL_Christian_Typisierte_Varianz_Analyse_von_Texten.pdf,195_final-REUL_Christian_Typisierte_Varianz_Analyse_von_Texten.xml
69,Digital Humanities from Scratch,197_final-ROEDER_Torsten_Digital_Humanities_from_Scratch,197_final-ROEDER_Torsten_Digital_Humanities_from_Scratch.pdf,197_final-ROEDER_Torsten_Digital_Humanities_from_Scratch.xml
70,StreamReaderSD 0.2 – Eine prototypische Webanwendung für das Lesen von Texten als Zeichenstrom,199_final-DRACH_Sviatoslav_StreamReader_sub_SD__sub__0_2___Eine_protot,199_final-DRACH_Sviatoslav_StreamReader_sub_SD__sub__0_2___Eine_protot.pdf,199_final-DRACH_Sviatoslav_StreamReader_sub_SD__sub__0_2___Eine_protot.xml
71,Barcamp data literacy: Datenkompetenzen in den digitalen Geisteswissenschaften vermitteln,200_final-WUTTKE_Ulrike_Barcamp_data_literacy__Datenkompetenzen_in_den,200_final-WUTTKE_Ulrike_Barcamp_data_literacy__Datenkompetenzen_in_den.pdf,200_final-WUTTKE_Ulrike_Barcamp_data_literacy__Datenkompetenzen_in_den.xml
72,Orte in narrativen biographischen Interviews: automatische Methoden und manuelle Analysen,201_final-RUPPENHOFER_Josef_Orte_in_narrativen_biographischen_Intervie,201_final-RUPPENHOFER_Josef_Orte_in_narrativen_biographischen_Intervie.pdf,201_final-RUPPENHOFER_Josef_Orte_in_narrativen_biographischen_Intervie.xml
73,3D-Rekonstruktion als Werkzeug der Quellenreflexion,202_final-MESSEMER_Heike_3D_Rekonstruktion_als_Werkzeug_der_Quellenref,202_final-MESSEMER_Heike_3D_Rekonstruktion_als_Werkzeug_der_Quellenref.pdf,202_final-MESSEMER_Heike_3D_Rekonstruktion_als_Werkzeug_der_Quellenref.xml
74,Die „Hans Kelsen Werke“ (HKW) – eine rechtswissenschaftliche Hybridedition,203_final-TRAUTMANN_Marjam_Die__Hans_Kelsen_Werke___HKW____eine_rechts,203_final-TRAUTMANN_Marjam_Die__Hans_Kelsen_Werke___HKW____eine_rechts.pdf,203_final-TRAUTMANN_Marjam_Die__Hans_Kelsen_Werke___HKW____eine_rechts.xml
75,Differenz und Ähnlichkeit in der computergestützten Filiation von Renaissancemusik. Zur datenbasierten Evaluation von Substitutionsmodellen mithilfe von Surrogatdaten,204_final-PLAKSIN_Anna_Differenz_und__hnlichkeit_in_der_computergest_t,204_final-PLAKSIN_Anna_Differenz_und__hnlichkeit_in_der_computergest_t.pdf,204_final-PLAKSIN_Anna_Differenz_und__hnlichkeit_in_der_computergest_t.xml
76,SoNAR (IDH): Datenschnittstellen für historische Netzwerkanalyse,207_final-HALLING_Thorsten_SoNAR__IDH___Datenschnittstellen_f_r_histor,207_final-HALLING_Thorsten_SoNAR__IDH___Datenschnittstellen_f_r_histor.pdf,207_final-HALLING_Thorsten_SoNAR__IDH___Datenschnittstellen_f_r_histor.xml
77,Showtime – sehen und gesehen werden! Erzeugung semantischer (Spiel-)Räume für kollaboratives Arbeiten mit multimedialen Annotationen im Mehrdimensionalen,210_final-WIENERS_Jan_Gerrit_Showtime___sehen_und_gesehen_werden__Erze,210_final-WIENERS_Jan_Gerrit_Showtime___sehen_und_gesehen_werden__Erze.pdf,210_final-WIENERS_Jan_Gerrit_Showtime___sehen_und_gesehen_werden__Erze.xml
78,"(Re-)Collecting Theatre History: Wissensdinge, Biographien, Wirkungsräume",211_final-MERTGENS_Andreas__Re__Collecting_Theatre_History__Wissensdin,211_final-MERTGENS_Andreas__Re__Collecting_Theatre_History__Wissensdin.pdf,211_final-MERTGENS_Andreas__Re__Collecting_Theatre_History__Wissensdin.xml
79,Die Digitale Edition der Protokolle des Bayerischen Ministerrats – ein Erfahrungsbericht,214_final-SCHROTT_Maximilian_Die_Digitale_Edition_der_Protokolle_des_B,214_final-SCHROTT_Maximilian_Die_Digitale_Edition_der_Protokolle_des_B.pdf,214_final-SCHROTT_Maximilian_Die_Digitale_Edition_der_Protokolle_des_B.xml
