,title,title from pdf,title from xml,pdf file,xml file
10,Booksprint-Projekt: Lehrbuch „Forschungsdaten-management“,"Booksprint-Projekt:Lehrbuch „Forschungsdaten-management“,st.buettner@fh-potsdam.deFH Potsdam, Deutsc",Booksprint-Projekt: Lehrbuch „Forschungsdaten-management“,conferences/DHd2016/pdf_einzeln/posters-003.pdf,conferences/DHd2016/xml/posters-003.xml
11,Ähnlichkeitssuche in den Digital Humanities: Semi-automatische Identifikation von Kostümmustern,"Ähnlichkeitssuche in denDigital Humanities: Semi-automatische Identifikationvon Kostümmustern,johann",Ähnlichkeitssuche in den Digital Humanities: Semi-automatische Identifikation von Kostümmustern ,conferences/DHd2016/pdf_einzeln/posters-004.pdf,conferences/DHd2016/xml/posters-004.xml
12,Digitales Publizieren. Bedingungen – Optionen – Empfehlungen,"Digitales Publizieren.Bedingungen – Optionen –Empfehlungen,staecker@hab.deHerzog August Bibliothek W",Digitales Publizieren. Bedingungen – Optionen – Empfehlungen,conferences/DHd2016/pdf_einzeln/posters-005.pdf,conferences/DHd2016/xml/posters-005.xml
13,Das Dortmunder Chat-Korpus in CLARIN-D: Modellierung und Mehrwerte,"Das Dortmunder Chat-Korpus in CLARIN-D: Modellierung undMehrwerte,michael.beisswenger@tu-dortmund.de",Das Dortmunder Chat-Korpus in CLARIN-D: Modellierung und Mehrwerte,conferences/DHd2016/pdf_einzeln/posters-006.pdf,conferences/DHd2016/xml/posters-006.xml
14,Digitale Forschungsaktivitäten multilingual: TaDiRAH für die deutschsprachige DH-Community,"DigitaleForschungsaktivitätenmultilingual: TaDiRAH fürdie deutschsprachige DH-Community,borek@lingli",Digitale Forschungsaktivitäten multilingual: TaDiRAH für die deutschsprachige DH-Community,conferences/DHd2016/pdf_einzeln/posters-007.pdf,conferences/DHd2016/xml/posters-007.xml
15,"""Bleeding Edge"" – Datenmodellierung, Softwareentwicklung und die Freuden und Leiden forschungsgetriebener Entwicklung am Beispiel der Datenbank der Islamic Scientific Manuscript Initiative (ISMI)","""Bleeding Edge"" –Datenmodellierung,Softwareentwicklung unddie Freuden und Leidenforschungsgetriebene","""Bleeding Edge"" – Datenmodellierung, Softwareentwicklung und die Freuden und Leiden forschungsgetriebener Entwicklung am Beispiel der Datenbank der Islamic Scientific Manuscript Initiative (ISMI)",conferences/DHd2016/pdf_einzeln/posters-008.pdf,conferences/DHd2016/xml/posters-008.xml
16,histoGraph: Graphbasierte Exploration und Crowdbasierte Indexierung,"histoGraph: GraphbasierteExploration undCrowdbasierte Indexierung,lars.wieneke@cvce.euCVCE Luxembour",histoGraph: Graphbasierte Exploration und Crowdbasierte Indexierung ,conferences/DHd2016/pdf_einzeln/posters-009.pdf,conferences/DHd2016/xml/posters-009.xml
17,Baustein statt Datenruine: Beitrag zu einer Forschungsumgebung mit Bild-Text-Annotationen,"Baustein statt Datenruine:Beitrag zu einerForschungsumgebung mitBild-Text-Annotationen,decker@asia-e",Baustein statt Datenruine: Beitrag zu einer Forschungsumgebung mit Bild-Text-Annotationen,conferences/DHd2016/pdf_einzeln/posters-010.pdf,conferences/DHd2016/xml/posters-010.xml
18,Metaphern digital – Auf dem Weg von der Annotation zur automatischen Detektion,"Metaphern digital – Auf demWeg von der Annotation zurautomatischen Detektion,dodinh@kdsl.informatik.",Metaphern digital – Auf dem Weg von der Annotation zur automatischen Detektion,conferences/DHd2016/pdf_einzeln/posters-011.pdf,conferences/DHd2016/xml/posters-011.xml
19,With a little help from my (HDC-)friends,"With a little help from my(HDC-)friends,claudia.engelhardt@sub.uni-goettingen.deNiedersächsische Sta",With a little help from my (HDC-)friends,conferences/DHd2016/pdf_einzeln/posters-012.pdf,conferences/DHd2016/xml/posters-012.xml
20,„Bis zum Sankt(-|\s)?[Nn]immerleins(-|\s)?[Tt]ag“ – Der Datumserkenner „PDR-Dates“,"„Bis zum Sankt(-|\s)?[Nn]immerleins(-|\s)?[Tt]ag“– Der Datumserkenner„PDR-Dates“,fechner@bbaw.deBerl",„Bis zum Sankt(-|\s)?[Nn]immerleins(-|\s)?[Tt]ag“ – Der Datumserkenner „PDR-Dates“,conferences/DHd2016/pdf_einzeln/posters-013.pdf,conferences/DHd2016/xml/posters-013.xml
21,Distant-Reading-Showcase: 200 Jahre deutscher Dramengeschichte auf einen Blick,"Distant-Reading-Showcase:200 Jahre deutscherDramengeschichte auf einenBlick,frank.fischer@zentr.uni-",Distant-Reading-Showcase: 200 Jahre deutscher Dramengeschichte auf einen Blick,conferences/DHd2016/pdf_einzeln/posters-014.pdf,conferences/DHd2016/xml/posters-014.xml
22,"Ontologie-basierte Modellierung, Vernetzung und Visualisierung geschichtswissen-schaftlichen, wirtschaftswissen-schaftlichen und politikwissen-schaftlichen Wissens zur Unterstützung multiperspektivischer Konfliktforschung","Ontologie-basierteModellierung, Vernetzungund Visualisierunggeschichtswissen-schaftlichen,wirtschaft","Ontologie-basierte Modellierung, Vernetzung und Visualisierung geschichtswissen-schaftlichen, wirtschaftswissen-schaftlichen und politikwissen-schaftlichen Wissens zur Unterstützung multiperspektivischer Konfliktforschung",conferences/DHd2016/pdf_einzeln/posters-015.pdf,conferences/DHd2016/xml/posters-015.xml
23,"Biblissima - Semantic Web Application für Handschriften, Inkunabeln und historische Sammlungen - Zwischenbericht","Biblissima - SemanticWeb Application fürHandschriften, Inkunabelnund historische Sammlungen- Zwische","Biblissima - Semantic Web Application für Handschriften, Inkunabeln und historische Sammlungen - Zwischenbericht",conferences/DHd2016/pdf_einzeln/posters-016.pdf,conferences/DHd2016/xml/posters-016.xml
24,: aichinger,": aichinger,mathiasmueller@aon.atÖAW, Österreich,dittricha@gmail.comÖAW, Österreich,Gilbert_Waltl@gm",: aichinger,conferences/DHd2016/pdf_einzeln/posters-017.pdf,conferences/DHd2016/xml/posters-017.xml
25,EbnerOnline. Konzept – Realisierung – Probleme. Erfahrungen aus der Praxis Digitaler Editionsarbeit,"EbnerOnline. Konzept –Realisierung – Probleme.Erfahrungen aus der PraxisDigitaler Editionsarbeit,ric",EbnerOnline. Konzept – Realisierung – Probleme. Erfahrungen aus der Praxis Digitaler Editionsarbeit ,conferences/DHd2016/pdf_einzeln/posters-018.pdf,conferences/DHd2016/xml/posters-018.xml
26,Dissertation: Der Berner Chorherr Heinrich Wölfli (1470-1532) und die Beschreibung seiner Heiligland-Wallfahrt von 1520/21 - Erschliessung und Darstellung durch klassisch-literaturwissenschaft-liche und digital-moderne Methoden,Dissertation: Der BernerChorherr Heinrich Wölfli(1470-1532) und dieBeschreibung seinerHeiligland-Wal,Dissertation: Der Berner Chorherr Heinrich Wölfli (1470-1532) und die Beschreibung seiner Heiligland-Wallfahrt von 1520/21 - Erschliessung und Darstellung durch klassisch-literaturwissenschaft-liche und digital-moderne Methoden,conferences/DHd2016/pdf_einzeln/posters-019.pdf,conferences/DHd2016/xml/posters-019.xml
27,Mit der FinderApp durch Goethes Faust: Treffer im Faksimile visuell hervorgehoben und multimediale Ausgabe in Videoaufführung und Hörbuch.,Mit der FinderApp durchGoethes Faust: Trefferim Faksimile visuellhervorgehoben undmultimediale Ausga,Mit der FinderApp durch Goethes Faust: Treffer im Faksimile visuell hervorgehoben und multimediale Ausgabe in Videoaufführung und Hörbuch.,conferences/DHd2016/pdf_einzeln/posters-020.pdf,conferences/DHd2016/xml/posters-020.xml
28,TInCAP – ein interdisziplinäres Korpus zu Ambiguitäts-phänomenen,"TInCAP – eininterdisziplinäres Korpus zuAmbiguitäts-phänomenen,jutta.hartmann@uni-tuebingen.deUniver",TInCAP – ein interdisziplinäres Korpus zu Ambiguitäts-phänomenen,conferences/DHd2016/pdf_einzeln/posters-021.pdf,conferences/DHd2016/xml/posters-021.xml
29,Annotation natürlichsprachlicher Texte aus Onlineforen zur Entwicklung domainspezifischer Ontologien,"AnnotationnatürlichsprachlicherTexte aus Onlineforenzur EntwicklungdomainspezifischerOntologien,hast",Annotation natürlichsprachlicher Texte aus Onlineforen zur Entwicklung domainspezifischer Ontologien ,conferences/DHd2016/pdf_einzeln/posters-022.pdf,conferences/DHd2016/xml/posters-022.xml
30,Lizenzauswahlwerk-zeuge für die digitalen Geisteswissenschaften,"Lizenzauswahlwerk-zeuge für die digitalenGeisteswissenschaften,pawel.kamocki@gmail.comInstitut für D",Lizenzauswahlwerk-zeuge für die digitalen Geisteswissenschaften,conferences/DHd2016/pdf_einzeln/posters-023.pdf,conferences/DHd2016/xml/posters-023.xml
31,Die Uwe Johnson-Werkausgabe,"Die Uwe Johnson-Werkausgabe,fabian.kassner@uni-rostock.deUniversität Rostock, Deutschland,andre.kisc",Die Uwe Johnson-Werkausgabe,conferences/DHd2016/pdf_einzeln/posters-024.pdf,conferences/DHd2016/xml/posters-024.xml
32,Digitales Publizieren in den Geisteswissenschaften – Abschlussbericht und Handlungsempfehlun-gen des DFG-Projektes Fu-PusH,Digitales Publizieren inden Geisteswissenschaften– Abschlussbericht undHandlungsempfehlun-gendes DFG,Digitales Publizieren in den Geisteswissenschaften – Abschlussbericht und Handlungsempfehlun-gen des DFG-Projektes Fu-PusH ,conferences/DHd2016/pdf_einzeln/posters-025.pdf,conferences/DHd2016/xml/posters-025.xml
33,Digital Zusammenwachsen: Forschungsdaten-management im Forschungsverbund MWW,"Digital Zusammenwachsen:Forschungsdaten-management imForschungsverbund MWW,steyer@hab.deForschungsve",Digital Zusammenwachsen: Forschungsdaten-management im Forschungsverbund MWW,conferences/DHd2016/pdf_einzeln/posters-026.pdf,conferences/DHd2016/xml/posters-026.xml
34,Darf wissenschaftliches Design in DH-Projekten emotional ansprechen?,"Darf wissenschaftlichesDesign in DH-Projektenemotional ansprechen?,lambertz@uni-trier.deUniversität ",Darf wissenschaftliches Design in DH-Projekten emotional ansprechen? ,conferences/DHd2016/pdf_einzeln/posters-027.pdf,conferences/DHd2016/xml/posters-027.xml
35,Gernika – Visualisierung der Interkonnektivität medialer Öffentlichkeiten in Europa,"Gernika – Visualisierung derInterkonnektivität medialerÖffentlichkeiten in Europa,loebel@bitgilde.de",Gernika – Visualisierung der Interkonnektivität medialer Öffentlichkeiten in Europa,conferences/DHd2016/pdf_einzeln/posters-028.pdf,conferences/DHd2016/xml/posters-028.xml
36,Eine musikwissenschaftli-che Edition in virtueller Umgebung: Die Einbindung der Anton Webern-Gesamtausgabe in SALSAH,Eine musikwissenschaftli-che Edition in virtuellerUmgebung: Die Einbindungder Anton Webern-Gesamtaus,Eine musikwissenschaftli-che Edition in virtueller Umgebung: Die Einbindung der Anton Webern-Gesamtausgabe in SALSAH ,conferences/DHd2016/pdf_einzeln/posters-029.pdf,conferences/DHd2016/xml/posters-029.xml
37,Datenressourcen der Arbeitsstelle des Deutschen Wörterbuchs (Neubearbeitung),"Datenressourcender Arbeitsstelle desDeutschen Wörterbuchs(Neubearbeitung),nmedera@gwdg.deAkademie de",Datenressourcen der Arbeitsstelle des Deutschen Wörterbuchs (Neubearbeitung),conferences/DHd2016/pdf_einzeln/posters-030.pdf,conferences/DHd2016/xml/posters-030.xml
38,Nutzerorientierte Softwareentwicklung revised – Die Perspektive der Editorinnen und Editoren in digitalen Musik und Medieneditionen,NutzerorientierteSoftwareentwicklung revised– Die Perspektive derEditorinnen und Editorenin digitale,Nutzerorientierte Softwareentwicklung revised – Die Perspektive der Editorinnen und Editoren in digitalen Musik und Medieneditionen ,conferences/DHd2016/pdf_einzeln/posters-031.pdf,conferences/DHd2016/xml/posters-031.xml
39,Netzwerkanalysen als Methode in der historischen Epistemologie,"Netzwerkanalysen alsMethode in der historischenEpistemologie,dwinter@mpiwg-berlin.mpg.deMax-Planck-I",Netzwerkanalysen als Methode in der historischen Epistemologie,conferences/DHd2016/pdf_einzeln/posters-032.pdf,conferences/DHd2016/xml/posters-032.xml
40,Stefan George Digital,"Stefan George Digital,frederike.neuber@uni-graz.atZIM, Universität Graz, ÖsterreichUntersuchungsgege",Stefan George Digital,conferences/DHd2016/pdf_einzeln/posters-033.pdf,conferences/DHd2016/xml/posters-033.xml
41,"Der Lehrpraxis im Transfer-Facharbeitskreis ""Digitale Geisteswissenschaften in Sachsen""","Der Lehrpraxis im Transfer-Facharbeitskreis ""DigitaleGeisteswissenschaften inSachsen"",ppfeil@uni-lei","Der Lehrpraxis im Transfer-Facharbeitskreis ""Digitale Geisteswissenschaften in Sachsen""",conferences/DHd2016/pdf_einzeln/posters-034.pdf,conferences/DHd2016/xml/posters-034.xml
42,Little Data on Big Map (Operative Verbildlichung von lokal existierten Daten der linguistischen Feldforschung),Little Data on Big Map(Operative Verbildlichungvon lokal existiertenDaten der linguistischenFeldfors,Little Data on Big Map (Operative Verbildlichung von lokal existierten Daten der linguistischen Feldforschung),conferences/DHd2016/pdf_einzeln/posters-035.pdf,conferences/DHd2016/xml/posters-035.xml
43,DARIAH-DKPro-Wrapper,"DARIAH-DKPro-Wrapper,reimers@ukp.informatik.tu-darmstadt.deTU Darmstadt, Deutschland,fotis.jannidis@",DARIAH-DKPro-Wrapper,conferences/DHd2016/pdf_einzeln/posters-036.pdf,conferences/DHd2016/xml/posters-036.xml
44,Schichten über Schichten – Die Zukunft der Handschriften-forschung,"Schichten über Schichten– Die Zukunft derHandschriften-forschung,schassan@hab.deHerzog August Biblio",Schichten über Schichten – Die Zukunft der Handschriften-forschung,conferences/DHd2016/pdf_einzeln/posters-037.pdf,conferences/DHd2016/xml/posters-037.xml
45,Ziele und Aktivitäten der Arbeitsgruppe Digitale Romanistik,"Ziele und Aktivitäten derArbeitsgruppe DigitaleRomanistik,christof.schoech@uni-wuerzburg.deUniversit",Ziele und Aktivitäten der Arbeitsgruppe Digitale Romanistik,conferences/DHd2016/pdf_einzeln/posters-038.pdf,conferences/DHd2016/xml/posters-038.xml
46,WissKI – Wissenschaftliche Kommunikations-Infrastruktur,"WissKI – WissenschaftlicheKommunikations-Infrastruktur,dorian.merz@fau.deFriedrich-Alexander Univers",WissKI – Wissenschaftliche Kommunikations-Infrastruktur,conferences/DHd2016/pdf_einzeln/posters-039.pdf,conferences/DHd2016/xml/posters-039.xml
47,Entwicklung einer digitalen Brief-Edition und eines Forschungsportals zu Theodor Fontane,"Entwicklung einer digitalenBrief-Edition und einesForschungsportals zuTheodor Fontane,sabine.seifert",Entwicklung einer digitalen Brief-Edition und eines Forschungsportals zu Theodor Fontane,conferences/DHd2016/pdf_einzeln/posters-040.pdf,conferences/DHd2016/xml/posters-040.xml
48,explore.bread.AT! Die österreichische Brotkultur dialektal,"explore.bread.AT! Dieösterreichische Brotkulturdialektal,melanie.siemund@oeaw.ac.atÖsterreichische A",explore.bread.AT! Die österreichische Brotkultur dialektal ,conferences/DHd2016/pdf_einzeln/posters-041.pdf,conferences/DHd2016/xml/posters-041.xml
49,Digitale Dokumentation des Kulturerbes im internationalen Verbund. Das Projekt Forschungsinfrastruk-tur Kunstdenkmäler in Ostmitteleuropa (FoKO),Digitale Dokumentationdes Kulturerbesim internationalenVerbund. Das ProjektForschungsinfrastruk-tur ,Digitale Dokumentation des Kulturerbes im internationalen Verbund. Das Projekt Forschungsinfrastruk-tur Kunstdenkmäler in Ostmitteleuropa (FoKO),conferences/DHd2016/pdf_einzeln/posters-042.pdf,conferences/DHd2016/xml/posters-042.xml
50,Kein Gedanke ohne Gedächtnis: Aspekte der Kooperation zwischen digitaler Geisteswissenschaft und BAM-Institutionen,Kein Gedanke ohneGedächtnis: Aspekte derKooperation zwischendigitaler Geisteswissenschaftund BAM-Ins,Kein Gedanke ohne Gedächtnis: Aspekte der Kooperation zwischen digitaler Geisteswissenschaft und BAM-Institutionen ,conferences/DHd2016/pdf_einzeln/posters-043.pdf,conferences/DHd2016/xml/posters-043.xml
51,Digitales Arbeiten in den Geisteswissenschaften stärken – wissenschaftliche Begleitforschung in DARIAH-DE,Digitales Arbeiten in denGeisteswissenschaftenstärken – wissenschaftlicheBegleitforschung inDARIAH-D,Digitales Arbeiten in den Geisteswissenschaften stärken – wissenschaftliche Begleitforschung in DARIAH-DE,conferences/DHd2016/pdf_einzeln/posters-044.pdf,conferences/DHd2016/xml/posters-044.xml
52,Briding the GAP: 100 Jahre Dialektlexikographie als Cloud Service. Der SADE Use Case im DARIAH Competence Centre,Briding the GAP: 100 JahreDialektlexikographie alsCloud Service. Der SADEUse Case im DARIAHCompetenc,Briding the GAP: 100 Jahre Dialektlexikographie als Cloud Service. Der SADE Use Case im DARIAH Competence Centre,conferences/DHd2016/pdf_einzeln/posters-045.pdf,conferences/DHd2016/xml/posters-045.xml
53,Big Babylonian Pictures. Kohärenztechniken zur konsistenten Vernetzung von Visualisierungen zu mentalen Modellen,Big Babylonian Pictures.Kohärenztechniken zurkonsistenten Vernetzungvon Visualisierungen zumentalen ,Big Babylonian Pictures. Kohärenztechniken zur konsistenten Vernetzung von Visualisierungen zu mentalen Modellen,conferences/DHd2016/pdf_einzeln/posters-047.pdf,conferences/DHd2016/xml/posters-047.xml
54,dariahTeach - Freizugängliche Plattform für DH Lehrmaterialien,"dariahTeach -Freizugängliche Plattformfür DH Lehrmaterialien,Tanja.Wissik@oeaw.ac.atÖsterreichische ",dariahTeach - Freizugängliche Plattform für DH Lehrmaterialien,conferences/DHd2016/pdf_einzeln/posters-048.pdf,conferences/DHd2016/xml/posters-048.xml
55,Modellierung von Forschungsdaten durch Annotation,"Modellierung vonForschungsdaten durchAnnotation,heike.zinsmeister@uni-hamburg.deUniversität Hamburg,",Modellierung von Forschungsdaten durch Annotation ,conferences/DHd2016/pdf_einzeln/posters-049.pdf,conferences/DHd2016/xml/posters-049.xml
56,Visualisierung von Ortsnamen im Deutschen Textarchiv,"Visualisierung vonOrtsnamen im DeutschenTextarchiv,adrien.barbaresi@oeaw.ac.atÖsterreichische Akadem", Visualisierung von Ortsnamen im Deutschen Textarchiv,conferences/DHd2016/pdf_einzeln/posters-050.pdf,conferences/DHd2016/xml/posters-050.xml
57,Die computergestützte Erschließung und Visualisierung historischer Itinerare,"Die computergestützteErschließung undVisualisierung historischerItinerare,daniel.blank@uni-bamberg.d",Die computergestützte Erschließung und Visualisierung historischer Itinerare,conferences/DHd2016/pdf_einzeln/posters-051.pdf,conferences/DHd2016/xml/posters-051.xml
58,Visualisierung mittelalterlicher Handschriften im Projekt eCodicology,"VisualisierungmittelalterlicherHandschriften im ProjekteCodicology,buschh@uni-trier.deUniversität Tr",Visualisierung mittelalterlicher Handschriften im Projekt eCodicology,conferences/DHd2016/pdf_einzeln/posters-052.pdf,conferences/DHd2016/xml/posters-052.xml
59,Menschen und Monumente im Fokus. Semantische Modellierung im Baedeker Corpus,"Menschen und Monumenteim Fokus. SemantischeModellierung im BaedekerCorpus,ulrike.czeitschner@oeaw.ac",Menschen und Monumente im Fokus. Semantische Modellierung im Baedeker Corpus,conferences/DHd2016/pdf_einzeln/posters-053.pdf,conferences/DHd2016/xml/posters-053.xml
60,"Ontologisierung vom Thompson Motif‘s Index – Teilergebnisse eines Softwareprojektes zum Thema „Classification of Folktales“, bei Antónia Kostevá, Universität des Saarlandes",Ontologisierung vomThompson Motif‘s Index– Teilergebnisse einesSoftwareprojektes zumThema „Classific,"Ontologisierung vom Thompson Motif‘s Index – Teilergebnisse eines Softwareprojektes zum Thema „Classification of Folktales“, bei Antónia Kostevá, Universität des Saarlandes",conferences/DHd2016/pdf_einzeln/posters-054.pdf,conferences/DHd2016/xml/posters-054.xml
61,CLARIN-D: Ressourcen gesprochener Sprache und Webservices des Bayerischen Archivs für Sprachsignale,"CLARIN-D: Ressourcengesprochener Spracheund Webservices desBayerischen Archivs fürSprachsignale,drax",CLARIN-D: Ressourcen gesprochener Sprache und Webservices des Bayerischen Archivs für Sprachsignale,conferences/DHd2016/pdf_einzeln/posters-055.pdf,conferences/DHd2016/xml/posters-055.xml
62,"Kuration und Exploration des Korpus ""Diskurs in der Weimarer Republik""","Kuration und Explorationdes Korpus ""Diskurs in derWeimarer Republik"",fankhauser@ids-mannheim.deIDS-M","Kuration und Exploration des Korpus ""Diskurs in der Weimarer Republik""",conferences/DHd2016/pdf_einzeln/posters-056.pdf,conferences/DHd2016/xml/posters-056.xml
63,Erschließung digitaler Ressourcen und Forschungsdaten in den Digital Humanities: Der Digitale Wissensspeicher an der Berlin-Brandenburgischen Akademie der Wissenschaften,Erschließung digitalerRessourcen undForschungsdaten in denDigital Humanities: DerDigitale Wissensspe,Erschließung digitaler Ressourcen und Forschungsdaten in den Digital Humanities: Der Digitale Wissensspeicher an der Berlin-Brandenburgischen Akademie der Wissenschaften ,conferences/DHd2016/pdf_einzeln/posters-057.pdf,conferences/DHd2016/xml/posters-057.xml
64,Romantik im Wandel der Zeit – eine quantitative Untersuchung,"Romantik im Wandel derZeit – eine quantitativeUntersuchung,johannes.hellrich@uni-jena.deJena Univers",Romantik im Wandel der Zeit – eine quantitative Untersuchung ,conferences/DHd2016/pdf_einzeln/posters-058.pdf,conferences/DHd2016/xml/posters-058.xml
65,Erstellung und Visualisierung von Topic-Modellen in WebLicht,"Erstellung undVisualisierung von Topic-Modellen in WebLicht,marie.hinrichs@uni-tuebingen.deUniversit",Erstellung und Visualisierung von Topic-Modellen in WebLicht,conferences/DHd2016/pdf_einzeln/posters-059.pdf,conferences/DHd2016/xml/posters-059.xml
66,"Das erste dynamische Stemma, Pionier des digitalen Zeitalters?","Das erste dynamischeStemma, Pionier desdigitalen Zeitalters?,hoenen@em.uni-frankfurt.deGoethe Univer","Das erste dynamische Stemma, Pionier des digitalen Zeitalters?",conferences/DHd2016/pdf_einzeln/posters-060.pdf,conferences/DHd2016/xml/posters-060.xml
67,Über die Nutzung von TagPies zur vergleichenden Analyse von Textdaten,"Über die Nutzung vonTagPies zur vergleichendenAnalyse von Textdaten,stjaenicke@informatik.uni-leipzi",Über die Nutzung von TagPies zur vergleichenden Analyse von Textdaten,conferences/DHd2016/pdf_einzeln/posters-061.pdf,conferences/DHd2016/xml/posters-061.xml
68,Graphdatenbanken für Historiker mit Perspektiven für die Historische Semantik,"Graphdatenbanken fürHistoriker mit Perspektivenfür die Historische Semantik,andreas.kuczera@geschich",Graphdatenbanken für Historiker mit Perspektiven für die Historische Semantik,conferences/DHd2016/pdf_einzeln/posters-062.pdf,conferences/DHd2016/xml/posters-062.xml
69,CRETA (Centrum für reflektierte Textanalyse) – Fachübergreifende Methodenentwicklung in den Digital Humanities,CRETA (Centrum fürreflektierte Textanalyse)– FachübergreifendeMethodenentwicklung in denDigital Huma,CRETA (Centrum für reflektierte Textanalyse) – Fachübergreifende Methodenentwicklung in den Digital Humanities ,conferences/DHd2016/pdf_einzeln/posters-063.pdf,conferences/DHd2016/xml/posters-063.xml
70,Historische Begriffe der Erziehungswissen-schaft - Erzeugung einer Ontologie,"Historische Begriffe derErziehungswissen-schaft -Erzeugung einer Ontologie,l.mueller@dipf.deDIPF, De",Historische Begriffe der Erziehungswissen-schaft - Erzeugung einer Ontologie,conferences/DHd2016/pdf_einzeln/posters-064.pdf,conferences/DHd2016/xml/posters-064.xml
71,neonion - Kollaboratives Annotieren zur Erschließung von textuellen Quellen,"neonion - KollaborativesAnnotieren zur Erschließungvon textuellen Quellen,clmb@inf.fu-berlin.deFreie",neonion - Kollaboratives Annotieren zur Erschließung von textuellen Quellen ,conferences/DHd2016/pdf_einzeln/posters-065.pdf,conferences/DHd2016/xml/posters-065.xml
72,Excerpta Constantiniana: vom Palimpsest zur Edition einer mittelalterlichen Enzyklopädie,"Excerpta Constantiniana:vom Palimpsest zur Editioneiner mittelalterlichenEnzyklopädie,dariya.rafiyen",Excerpta Constantiniana: vom Palimpsest zur Edition einer mittelalterlichen Enzyklopädie,conferences/DHd2016/pdf_einzeln/posters-066.pdf,conferences/DHd2016/xml/posters-066.xml
73,Digital Humanities und Linguistik: Herausforderungen und ihre Potenziale am Beispiel der Annotation multimodaler Daten,Digital Humanitiesund Linguistik:Herausforderungen und ihrePotenziale am Beispiel derAnnotation mult,Digital Humanities und Linguistik: Herausforderungen und ihre Potenziale am Beispiel der Annotation multimodaler Daten,conferences/DHd2016/pdf_einzeln/posters-067.pdf,conferences/DHd2016/xml/posters-067.xml
