;title;title from pdf;title from xml;pdf file;xml file
25;Raum und Zeit in Comics: Die Wirkung von Zwischenräumen auf Aufmerksamkeit und empfundene Zeit beim Lesen graphischer Literatur;Raum und Zeit inComics: Die Wirkungvon Zwischenräumenauf Aufmerksamkeit undempfundene Zeit beim Lese;Raum und Zeit in Comics: Die Wirkung von Zwischenräumen auf Aufmerksamkeit und empfundene Zeit beim Lesen graphischer Literatur;conferences\DHd2017\pdf_einzeln\poster-HOHEN.pdf;conferences\DHd2017\XML\poster-HOHEN.xml
26;Grotefend digital;Grotefend digitalVogeler, Georggeorg.vogeler@uni-graz.atKarl-Franzens-Universität Graz, ÖsterreichKl;;;
27;Nachhaltigkeitperspektiven von Graphdaten;Nachhaltigkeitperspektivenvon GraphdatenKuczera, Andreasandreas.kuczera@geschichte.uni-giessen.deReg;;;
28;Visuelle Elemente grafischer Literatur: Aufmerksamkeitszuwendung und objektive Beschreibung;Visuelle Elementegrafischer Literatur:Aufmerksamkeitszuwendungund objektive BeschreibungLaubrock, Jo;Visuelle Elemente grafischer Literatur: Aufmerksamkeitszuwendung und objektive Beschreibung;conferences\DHd2017\pdf_einzeln\poster-LAUBR.pdf;conferences\DHd2017\XML\poster-LAUBR.xml
29;APIS – Eine Linked Open Data basierte Datamining-Webapplikation für das Auswerten biographischer Daten;APIS – Eine Linked OpenData basierte Datamining-Webapplikation für dasAuswerten biographischerDatenS;APIS – Eine Linked Open Data basierte Datamining-Webapplikation für das Auswerten biographischer Daten;conferences\DHd2017\pdf_einzeln\poster-LEJTO.pdf;conferences\DHd2017\XML\poster-LEJTO.xml
30;Umfrage zu Forschungsdaten an der Philosophischen Fakultät der Universität zu Köln;Umfrage zuForschungsdaten an derPhilosophischen Fakultät derUniversität zu KölnMathiak, Brigittebmat;Umfrage zu Forschungsdaten an der Philosophischen Fakultät der Universität zu Köln;conferences\DHd2017\pdf_einzeln\poster-MATHI.pdf;conferences\DHd2017\XML\poster-MATHI.xml
31;Zwei grundlegende Fragen der digitalen Nachhaltigkeit: Wie können wir die heterogenen Forschungsfragen und die Community bei der Verfügbarmachung von Forschungsdaten miteinbeziehen?;Zwei grundlegendeFragen der digitalenNachhaltigkeit: Wiekönnen wir die heterogenenForschungsfragen u;Zwei grundlegende Fragen der digitalen Nachhaltigkeit: Wie können wir die heterogenen Forschungsfragen und die Community bei der Verfügbarmachung von Forschungsdaten miteinbeziehen?;conferences\DHd2017\pdf_einzeln\poster-ODEBR.pdf;conferences\DHd2017\XML\poster-ODEBR.xml
32;Webbasierte Morphemannotation Diachroner Korpora: Ein Weg zu mehr Nachhaltigkeit?;WebbasierteMorphemannotationDiachroner Korpora:Ein Weg zu mehrNachhaltigkeit?Peukert, Hagenhagen.peu;;;
33;Einfaches Topic Modeling in Python - Eine Programmbibliothek für Preprocessing, Modellierung und Analyse;Einfaches Topic Modelingin Python - EineProgrammbibliothek fürPreprocessing, Modellierungund Analyse;;;
34;Paraphrasenerkennung im Projekt Digital Plato;Paraphrasenerkennung imProjekt Digital PlatoKath, Roxanaroxana.kath@me.comUniversität LeipzigKeilhol;;;
35;Entitäten als Topic Labels: Verbesserung der Interpretierbarkeit und Evaluierbarkeit von Themen durch Kombinieren von Entity Linking und Topic Modeling;Entitäten als TopicLabels: Verbesserung derInterpretierbarkeit undEvaluierbarkeit von Themendurch Ko;Entitäten als Topic Labels: Verbesserung der Interpretierbarkeit und Evaluierbarkeit von Themen durch Kombinieren von Entity Linking und Topic Modeling;conferences\DHd2017\pdf_einzeln\poster-PONZE.pdf;conferences\DHd2017\XML\poster-PONZE.xml
36;Comparison of Methods for Automatic Relation Extraction in German Novels;Comparison of Methodsfor Automatic RelationExtraction in GermanNovelsKrug, Markusmarkus.krug@uni-wue;Comparison of Methods for Automatic Relation Extraction in German Novels;conferences\DHd2017\pdf_einzeln\poster-REGER.pdf;conferences\DHd2017\XML\poster-REGER.xml
37;Kollaborative Forschung über Linked Open Data Forschungsdatenbanken der Universitätsgeschichte. Implementierung des Heloise Common Research Model;Kollaborative Forschungüber Linked Open DataForschungsdatenbankender UniversitätsgeschichteImplement;;;
38;Die Odyssee zum richtigen Standard - Herausforderungen einer konsistenten Datenmigration von Ulysses: A Critical and Synoptic Edition (1984);Die Odyssee zumrichtigen Standard -Herausforderungen einerkonsistenten Datenmigrationvon Ulysses: A ;Die Odyssee zum richtigen Standard - Herausforderungen einer konsistenten Datenmigration von ;conferences\DHd2017\pdf_einzeln\poster-SCHAE.pdf;conferences\DHd2017\XML\poster-SCHAE.xml
39;... warum nicht gleich Wikidata?!;... warum nicht gleichWikidata?!Schelbert, Georggeorg.schelbert@hu-berlin.deHumboldt-Universität zu ;... warum nicht gleich Wikidata?!;conferences\DHd2017\pdf_einzeln\poster-SCHEL.pdf;conferences\DHd2017\XML\poster-SCHEL.xml
40;„IT for all“ – Das Projekt „Digitaler Campus Bayern – Digitale Datenanalyse in den Geisteswissenschaften“ als Beispiel für nachhaltige IT-Didaktik;„IT for all“ – Das Projekt„Digitaler Campus Bayern –Digitale Datenanalyse in denGeisteswissenschafte;„IT for all“ – Das Projekt „Digitaler Campus Bayern – Digitale Datenanalyse in den Geisteswissenschaften“ als Beispiel für nachhaltige IT-Didaktik;conferences\DHd2017\pdf_einzeln\poster-SCHUJ.pdf;conferences\DHd2017\XML\poster-SCHUJ.xml
41;Maßnahmen zur digitalen Nachhaltigkeit in Langzeitprojekten – Das Beispiel Capitularia;Maßnahmen zur digitalenNachhaltigkeit inLangzeitprojekten – DasBeispiel CapitulariaSchulz, Danielasc;Maßnahmen zur digitalen Nachhaltigkeit in Langzeitprojekten – Das Beispiel ;conferences\DHd2017\pdf_einzeln\poster-SCHUL.pdf;conferences\DHd2017\XML\poster-SCHUL.xml
42;Where the words are: a visual interactive exploration of plants names;Where the words are: avisual interactive explorationof plants namesTherón, Robertotheron@usal.esUniv; Where the words are: a visual interactive exploration of plants names;conferences\DHd2017\pdf_einzeln\poster-SELTM.pdf;conferences\DHd2017\XML\poster-SELTM.xml
43;relNet – Modellierung von Themen und Strukturen religiöser Online-Kommunikation;relNet – Modellierung vonThemen und Strukturenreligiöser Online-KommunikationElwert, Frederikfrederi;;;
44;Zukünftiger Teil eines Fachinformationsdienstes: Eine Datenbank zur Fachgeschichte der deutschsprachigen Musikwissenschaft zwischen ca. 1810 und ca. 1990, projektiert am Max-Planck-Institut für empirische Ästhetik, Frankfurt am Main;Zukünftiger Teil einesFachinformationsdienstes:Eine Datenbank zurFachgeschichte derdeutschsprachigen;Zukünftiger Teil eines Fachinformationsdienstes: Eine Datenbank zur ;conferences\DHd2017\pdf_einzeln\poster-VANDY.pdf;conferences\DHd2017\XML\poster-VANDY.xml
45;Digitale Nachhaltigkeit bei Grundlagenforschung in Akademieprogramm: Das Beispiel „Johann Friedrich Blumenbach-online“;Digitale Nachhaltigkeit beiGrundlagenforschung inAkademieprogramm: DasBeispiel „Johann FriedrichBlum;Digitale Nachhaltigkeit bei Grundlagenforschung in Akademieprogramm: Das Beispiel „Johann Friedrich Blumenbach-online“;conferences\DHd2017\pdf_einzeln\poster-WETTL.pdf;conferences\DHd2017\XML\poster-WETTL.xml
46;AGATE – European Academies Internet Gateway: Konzept für eine digitale Infrastruktur für die geistes- und sozialwissenschaftlichen Forschungsvorhaben der europäischen Wissenschaftsakademien;AGATE – EuropeanAcademies InternetGateway: Konzept füreine digitale Infrastrukturfür die geistes- un;AGATE – European Academies Internet Gateway: Konzept für eine digitale Infrastruktur für die geistes- und sozialwissenschaftlichen Forschungsvorhaben der europäischen Wissenschaftsakademien;conferences\DHd2017\pdf_einzeln\poster-WUTTK.pdf;conferences\DHd2017\XML\poster-WUTTK.xml
47;TEASys (Tübingen Explanatory Annotations System): Die erklärende Annotation literarischer Texte in den Digital Humanities;TEASys (TübingenExplanatory AnnotationsSystem): Die erklärendeAnnotation literarischerTexte in den D;TEASys (Tübingen Explanatory Annotations System): Die erklärende Annotation literarischer Texte in den Digital Humanities;conferences\DHd2017\pdf_einzeln\poster-ZIRKE.pdf;conferences\DHd2017\XML\poster-ZIRKE.xml
48;Digitale Modellierung literarischen Raums;Digitale Modellierungliterarischen RaumsBarth, Florianflorianbarth@ilw.uni-stuttgart.deUniversität S;Digitale Modellierung literarischen Raums;conferences\DHd2017\pdf_einzeln\vortrag-BARTH.pdf;conferences\DHd2017\XML\vortrag-BARTH.xml
49;Dokumentation, Werkzeugkasten, Pakete - Nachhaltigkeit von Daten und Funktionalität Digitaler Editionen;Dokumentation,Werkzeugkasten, Pakete -Nachhaltigkeit von Datenund Funktionalität DigitalerEditionenC;Dokumentation, Werkzeugkasten, Pakete - Nachhaltigkeit von Daten und Funktionalität Digitaler Editionen;conferences\DHd2017\pdf_einzeln\vortrag-CZMIE.pdf;conferences\DHd2017\XML\vortrag-CZMIE.xml
50;Hermann Burgers Lokalbericht: Hybrid-Edition mit digitalem Schwerpunkt;Hermann BurgersLokalbericht: Hybrid-Edition mit digitalemSchwerpunktDaengeli, Peterp.daengeli@uni-ko;;;
51;Semantische Suche in Ausgestorbenen Sprachen: Eine Fallstudie für das Hethitische;Semantische Suche inAusgestorbenen Sprachen:Eine Fallstudie für dasHethitischeDaxenberger, Johannesd;Semantische Suche in Ausgestorbenen Sprachen: Eine Fallstudie für das Hethitische;conferences\DHd2017\pdf_einzeln\vortrag-DAXEN.pdf;conferences\DHd2017\XML\vortrag-DAXEN.xml
52;Autorschaftsattribution bei nicht-normalisiertem Mittelhochdeutsch. Bessere Erkennungsquoten durch ein Normalisierungswörterbuch;Autorschaftsattributionbei nicht-normalisiertemMittelhochdeutsch. BessereErkennungsquoten durch einN;Autorschaftsattribution bei nicht-normalisiertem Mittelhochdeutsch. Bessere Erkennungsquoten durch ein Normalisierungswörterbuch;conferences\DHd2017\pdf_einzeln\vortrag-DIMPE.pdf;conferences\DHd2017\XML\vortrag-DIMPE.xml
53;Von sammlungsspezifischen Visualisierungen zu nachnutzbaren Werkzeugen;Von sammlungsspezifischenVisualisierungen zunachnutzbaren WerkzeugenGlinka, Katringlinka@fh-potsdam.;;;
54;Ein PoS-Tagger für „das“ Mittelhochdeutsche;Ein PoS-Tagger für „das“MittelhochdeutscheEchelmeyer, Noranora.echelmeyer@ilw.uni-stuttgart.deUniver;Ein PoS-Tagger für „das“ Mittelhochdeutsche;conferences\DHd2017\pdf_einzeln\vortrag-ECHEL.pdf;conferences\DHd2017\XML\vortrag-ECHEL.xml
55;Nachhaltige Erschließung umfangreicher handschriftlicher Überlieferungen. Ein Fallbeispiel;Nachhaltige ErschließungumfangreicherhandschriftlicherÜberlieferungen. EinFallbeispielFaßhauer, Vera;Nachhaltige Erschließung umfangreicher handschriftlicher Überlieferungen. Ein Fallbeispiel;conferences\DHd2017\pdf_einzeln\vortrag-FASSH.pdf;conferences\DHd2017\XML\vortrag-FASSH.xml
56;„Der Helmut Kohl unter den Brotaufstrichen“. Zur Extraktion vossianischer Antonomasien aus großen Zeitungskorpora;„Der Helmut Kohl unterden Brotaufstrichen“. ZurExtraktion vossianischerAntonomasien aus großenZeitun;;;
57;Datenvisualisierung als Aisthesis;Datenvisualisierung alsAisthesisGius, Evelynevelyn.gius@uni-hamburg.deUniversität Hamburg, Deutschla;Datenvisualisierung als Aisthesis;conferences\DHd2017\pdf_einzeln\vortrag-GIUSE.pdf;conferences\DHd2017\XML\vortrag-GIUSE.xml
58;Niklas Luhmanns Werk- und Lesekosmos - DH in der bibliographischen Dimension;Niklas Luhmanns Werk-und Lesekosmos - DHin der bibliographischenDimensionGoedel, Martinamgoedel@uni-;;;
59;Langzeitinterpretierbarkeit auf Basis des CIDOC-CRM in inter- und transdisziplinären Forschungsprojekten am Germanischen Nationalmuseum (GNM), Nürnberg;Langzeitinterpretierbarkeitauf Basis des CIDOC-CRM in inter- undtransdisziplinärenForschungsprojekte;Langzeitinterpretierbarkeit auf Basis des CIDOC-CRM in inter- und transdisziplinären Forschungsprojekten am Germanischen Nationalmuseum (GNM), Nürnberg;conferences\DHd2017\pdf_einzeln\vortrag-GROSS.pdf;conferences\DHd2017\XML\vortrag-GROSS.xml
60;Nachhaltige Konzeptionsmethoden für Digital Humanities Projekte am Beispiel der Goethe-PROPYLÄEN;NachhaltigeKonzeptionsmethoden fürDigital Humanities Projekteam Beispiel der Goethe-PROPYLÄENKasper,;;;
61;Das „Was-bisher-geschah“ von KOLIMO. Ein Update zum Korpus der literarischen Moderne;Das „Was-bisher-geschah“von KOLIMO. Ein Updatezum Korpus der literarischenModerneHerrmann, J. Bereni;Das „Was-bisher-geschah“ von KOLIMO. Ein Update zum Korpus der literarischen Moderne;conferences\DHd2017\pdf_einzeln\vortrag-HERRM.pdf;conferences\DHd2017\XML\vortrag-HERRM.xml
62;Archival Cultural Heritage Online: Eine Virtuelle Forschungsumgebung im Spannungsfeld von Open Access, Nachhaltigkeit und Datenschutz;Archival Cultural HeritageOnline: Eine VirtuelleForschungsumgebung imSpannungsfeld von OpenAccess, N; Archival Cultural Heritage Online: Eine Virtuelle Forschungsumgebung im Spannungsfeld von Open Access, Nachhaltigkeit und Datenschutz;conferences\DHd2017\pdf_einzeln\vortrag-LANGE.pdf;conferences\DHd2017\XML\vortrag-LANGE.xml
63;Datenmodellierung und -visualisierung mit Graphdatenbanken. Konzepte und Erfahrungen anlässlich des Relaunches der Bilddatenbank REALonline;Datenmodellierungund -visualisierung mitGraphdatenbanken.Konzepte und Erfahrungenanlässlich des Rela;Datenmodellierung und -visualisierung mit Graphdatenbanken. Konzepte und Erfahrungen anlässlich des Relaunches der Bilddatenbank REALonline;conferences\DHd2017\pdf_einzeln\vortrag-MATSC.pdf;conferences\DHd2017\XML\vortrag-MATSC.xml
64;Digitale Transformationen. Zum Einfluss der Digitalisierung auf die musikwissenschaftliche Editionsarbeit;Digitale Transformationen.Zum Einfluss derDigitalisierung auf diemusikwissenschaftlicheEditionsarbei;Digitale Transformationen. Zum Einfluss der Digitalisierung auf die musikwissenschaftliche Editionsarbeit;conferences\DHd2017\pdf_einzeln\vortrag-MEISE.pdf;conferences\DHd2017\XML\vortrag-MEISE.xml
65;Kontextbasierte Zitationsanalyse soziologischer Klassiker im Verlauf von 100 Jahren;KontextbasierteZitationsanalysesoziologischer Klassiker imVerlauf von 100 JahrenMesserschmidt, Reinh;Kontextbasierte Zitationsanalyse soziologischer Klassiker im Verlauf von 100 Jahren;conferences\DHd2017\pdf_einzeln\vortrag-MESSE.pdf;conferences\DHd2017\XML\vortrag-MESSE.xml
66;Projekte und Aktivitäten im Kontext digitaler 3D-Rekonstruktion im deutschsprachigen Raum;Projekte und Aktivitätenim Kontext digitaler3D-Rekonstruktion imdeutschsprachigen RaumMünster, Sande;Projekte und Aktivitäten im Kontext digitaler 3D-Rekonstruktion im deutschsprachigen Raum;conferences\DHd2017\pdf_einzeln\vortrag-MUENS.pdf;conferences\DHd2017\XML\vortrag-MUENS.xml
67;Bild, Beschreibung, (Meta)Text. Automatische inhaltliche Erschließung und Annotation kunsthistorischer Daten;Bild, Beschreibung,(Meta)Text Automatischeinhaltliche Erschließung undAnnotation kunsthistorischerDa;;;
68;The Colorized Dead: Computerunterstützte Analysen der Farblichkeit von Filmen in den Digital Humanities am Beispiel von Zombiefilmen;The Colorized Dead:ComputerunterstützteAnalysen der Farblichkeitvon Filmen in den DigitalHumanities ;;;
69;Aufbau eines historisch-literarischen Metaphernkorpus für das Deutsche;Aufbau eineshistorisch-literarischenMetaphernkorpus für dasDeutschePernes, Stefanstefan.pernes@uni-w;Aufbau eines historisch-literarischen Metaphernkorpus für das Deutsche;conferences\DHd2017\pdf_einzeln\vortrag-PERNE.pdf;conferences\DHd2017\XML\vortrag-PERNE.xml
70;Analyzing Features for the Detection of Happy Endings in German Novels;Analyzing Features for theDetection of Happy Endingsin German NovelsJannidis, Fotisfotis.jannidis@un;Analyzing Features for the Detection of Happy Endings in German Novels;conferences\DHd2017\pdf_einzeln\vortrag-REGER.pdf;conferences\DHd2017\XML\vortrag-REGER.xml
71;Automatische Bild-Text-Analyse: Chancen für die Zeitschriftenforschung jenseits von reinen Textdaten;Automatische Bild-Text-Analyse: Chancen für dieZeitschriftenforschungjenseits von reinenTextdatenRiß;Automatische Bild-Text-Analyse: Chancen für die Zeitschriftenforschung jenseits von reinen Textdaten;conferences\DHd2017\pdf_einzeln\vortrag-RISSL.pdf;conferences\DHd2017\XML\vortrag-RISSL.xml
72;Anybody out there? Der Begriff der Masse im Crowdsourcing;Anybody out there? DerBegriff der Masse imCrowdsourcingSchilz, Andreaandrea.schilz@uni-passau.deUniv;;;
73;Wiederholende Forschung in den digitalen Geisteswissenschaften;Wiederholende Forschungin den digitalenGeisteswissenschaftenSchöch, Christofchristof.schoech@uni-wue;;;
74;Nachhaltige Softwareentwicklung in den Digital Humanities. Konzepte und Methoden.;NachhaltigeSoftwareentwicklung inden Digital Humanities.Konzepte und Methoden.Schrade, TorstenTorste;Nachhaltige Softwareentwicklung in den Digital Humanities. Konzepte und Methoden.;conferences\DHd2017\pdf_einzeln\vortrag-SCHRA.pdf;conferences\DHd2017\XML\vortrag-SCHRA.xml
75;Nachhaltigkeit als Prozess: Zur konzeptionellen Funktion digitaler Technologien in der Nachhaltigkeitssicherung für historische Fotos im Projekt efoto-Hamburg;Nachhaltigkeit als Prozess:Zur konzeptionellenFunktion digitalerTechnologien in derNachhaltigkeitssi;Nachhaltigkeit als Prozess: Zur konzeptionellen Funktion digitaler Technologien in der Nachhaltigkeitssicherung für historische Fotos im Projekt efoto-Hamburg;conferences\DHd2017\pdf_einzeln\vortrag-SCHUM.pdf;conferences\DHd2017\XML\vortrag-SCHUM.xml
76;3D-Metamodeling Christopher Polhem’s Laboratorium mechanicum 1696;3D-MetamodelingChristopher Polhem’sLaboratorium mechanicum1696Snickars, Pellepelle.snickars@umu.seUm;3D-Metamodeling Christopher Polhem’s ;conferences\DHd2017\pdf_einzeln\vortrag-SNICK.pdf;conferences\DHd2017\XML\vortrag-SNICK.xml
77;Die Impactomatrix – ein interaktiver Katalog für Impactfaktoren und Erfolgskriterien für digitale Infrastrukuren in den Geisteswissenschaften;Die Impactomatrix –ein interaktiver Katalogfür Impactfaktoren undErfolgskriterien für digitaleInfras;Die Impactomatrix – ein interaktiver Katalog für Impactfaktoren und Erfolgskriterien für digitale Infrastrukuren in den Geisteswissenschaften;conferences\DHd2017\pdf_einzeln\vortrag-THODE.pdf;conferences\DHd2017\XML\vortrag-THODE.xml
78;Netzwerkdynamik, Plotanalyse – Zur Visualisierung und Berechnung der ›progressiven Strukturierung‹ literarischer Texte;Netzwerkdynamik,Plotanalyse – ZurVisualisierungund Berechnungder ›progressivenStrukturierung‹ litera;Netzwerkdynamik, Plotanalyse – Zur Visualisierung und Berechnung der ›progressiven Strukturierung‹ literarischer Texte;conferences\DHd2017\pdf_einzeln\vortrag-TRILC.pdf;conferences\DHd2017\XML\vortrag-TRILC.xml
